model_key,model,concurrency_group,pair_id,language,difficulty,abs_z_diff,human_delta,valid,correct,model_sign,ab_correct,ba_correct,margin_ab,margin_ba,content_margin,position_margin,debiased_correct,content_tie,ab_first_choice,ba_first_choice
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0010,java,easy,2.005845202665431,2.005845202665431,False,False,,False,True,-0.125,-1.125,0.5,-0.625,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0011,java,easy,1.824338160631656,1.824338160631656,True,True,1.0,True,True,0.125,-2.25,1.1875,-1.0625,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0012,java,easy,1.98840465998976,-1.9884046599897602,False,False,,True,False,-1.75,-0.125,-0.8125,-0.9375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0013,java,easy,1.2212032031762807,-1.2212032031762807,True,True,-1.0,True,True,-1.875,0.125,-1.0,-0.875,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0014,java,easy,1.0382703692237147,-1.0382703692237147,False,False,,True,False,-1.75,-0.5,-0.625,-1.125,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0015,java,easy,1.4815920509087397,-1.4815920509087395,True,True,-1.0,True,True,-2.625,0.0,-1.3125,-1.3125,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0016,java,easy,1.3000850088749645,-1.3000850088749645,False,False,,True,False,-2.5,-0.375,-1.0625,-1.4375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0017,java,easy,2.9336483871789394,-2.9336483871789394,False,False,,True,False,-1.875,-0.25,-0.8125,-1.0625,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0018,java,easy,1.092964150855298,1.092964150855298,False,False,,False,True,-0.375,-1.375,0.5,-0.875,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0019,java,easy,4.139530253932445,4.139530253932445,True,False,-1.0,False,False,-0.5,0.0,-0.25,-0.25,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0020,java,easy,1.3776914478114004,1.3776914478114004,True,True,1.0,True,True,0.25,-2.375,1.3125,-1.0625,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0021,java,easy,1.3431607637016914,1.3431607637016914,True,True,1.0,True,True,1.25,-1.75,1.5,-0.25,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0022,java,easy,2.0937506022408723,2.0937506022408723,True,True,1.0,True,True,1.375,-1.625,1.5,-0.125,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0023,java,easy,1.3299925209203027,1.3299925209203027,True,True,1.0,True,True,0.625,-0.625,0.625,0.0,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0024,java,easy,1.3041732782467568,1.3041732782467568,True,True,1.0,True,True,1.375,-1.75,1.5625,-0.1875,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0025,java,easy,1.6049941108864003,1.6049941108864003,True,True,1.0,True,True,0.75,-0.5,0.625,0.125,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0026,java,easy,1.0833669345564694,1.0833669345564694,True,True,1.0,True,True,0.375,-1.5,0.9375,-0.5625,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0027,java,easy,2.054245873896706,-2.054245873896706,False,False,,True,False,-1.75,-0.125,-0.8125,-0.9375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0028,java,easy,3.0023593541567246,-3.0023593541567246,True,True,-1.0,True,True,-1.75,0.25,-1.0,-0.75,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0029,java,easy,2.752162741310328,-2.752162741310328,True,True,-1.0,True,True,-2.125,1.375,-1.75,-0.375,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0030,java,easy,2.8838451691242213,-2.8838451691242213,True,True,-1.0,True,True,-1.5,1.0,-1.25,-0.25,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0031,java,easy,1.3586113334790018,-1.3586113334790018,True,True,-1.0,True,True,-3.375,1.125,-2.25,-1.125,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0032,java,easy,1.130343973761082,-1.130343973761082,True,True,-1.0,True,True,-3.25,0.875,-2.0625,-1.1875,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0033,java,easy,1.9690601022268817,-1.9690601022268819,False,False,,True,False,-2.75,-0.125,-1.3125,-1.4375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0034,java,easy,1.7144419714076573,-1.7144419714076573,True,True,-1.0,True,True,-2.125,0.75,-1.4375,-0.6875,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0035,java,easy,2.2848548605734766,-2.2848548605734766,False,False,,True,False,-2.875,-0.875,-1.0,-1.875,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0036,java,easy,2.2848548605734766,-2.2848548605734766,False,False,,True,False,-2.875,-1.0,-0.9375,-1.9375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0037,java,easy,3.3738971127761266,-3.3738971127761266,True,True,-1.0,True,True,-3.0,0.375,-1.6875,-1.3125,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0038,java,easy,1.7403337344721517,-1.7403337344721517,False,False,,True,False,-2.625,-1.0,-0.8125,-1.8125,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0039,java,easy,1.4221702203900275,1.4221702203900275,False,False,,False,True,-1.5,-0.875,-0.3125,-1.1875,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0040,java,easy,1.9225634460828145,1.9225634460828145,False,False,,False,True,-0.75,-2.125,0.6875,-1.4375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0041,java,easy,1.435338463171417,1.435338463171417,False,False,,False,True,-1.125,-2.375,0.625,-1.75,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0042,java,easy,1.2898873244431477,-1.2898873244431477,False,False,,True,False,-1.25,-1.375,0.0625,-1.3125,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0043,java,easy,2.054245873896706,-2.054245873896706,True,True,-1.0,True,True,-1.5,0.75,-1.125,-0.375,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0044,java,easy,1.7627483213822812,-1.7627483213822812,True,True,-1.0,True,True,-1.5,0.875,-1.1875,-0.3125,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0045,java,easy,1.036720153247182,-1.036720153247182,False,False,,True,False,-1.375,-0.625,-0.375,-1.0,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0046,java,easy,2.014741145552538,2.014741145552538,False,False,,False,True,-0.25,-0.625,0.1875,-0.4375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0047,java,easy,2.4756296429011577,2.4756296429011577,True,True,1.0,True,True,0.0,-0.25,0.125,-0.125,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0048,java,easy,2.357115457868656,2.3571154578686557,True,False,-1.0,False,False,-0.375,0.125,-0.25,-0.125,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0049,java,easy,1.593424387689259,1.593424387689259,True,True,1.0,True,True,0.125,-0.5,0.3125,-0.1875,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0050,java,easy,1.895723832672684,1.8957238326726842,True,False,-1.0,False,False,-0.25,0.625,-0.4375,0.1875,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0051,java,easy,1.5357103611880696,1.5357103611880696,True,True,1.0,True,True,0.5,-0.625,0.5625,-0.0625,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0052,java,easy,2.6247526133907195,2.6247526133907195,True,True,1.0,True,True,0.5,-0.375,0.4375,0.0625,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0053,java,easy,2.987766697458269,2.9877666974582695,True,False,-1.0,False,False,-0.25,0.375,-0.3125,0.0625,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0054,java,easy,1.0402911797297418,-1.0402911797297418,True,True,-1.0,True,True,-0.125,0.0,-0.0625,-0.0625,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0055,java,easy,1.7376075790103782,-1.7376075790103782,True,False,1.0,False,False,0.75,-1.5,1.125,-0.375,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0056,java,easy,1.4499257672197956,1.4499257672197956,True,True,1.0,True,True,2.25,-1.625,1.9375,0.3125,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0057,java,easy,1.3488360813478713,-1.3488360813478713,True,False,1.0,False,False,0.375,-1.625,1.0,-0.625,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0058,java,easy,1.3033051631874364,1.3033051631874364,True,True,1.0,True,True,0.5,-1.875,1.1875,-0.6875,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0059,java,easy,2.7553614994576363,2.7553614994576363,True,True,1.0,True,True,0.375,-1.75,1.0625,-0.6875,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0060,java,easy,2.392347415390085,2.392347415390085,True,True,1.0,True,True,1.625,-2.375,2.0,-0.375,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0061,java,easy,1.3033051631874364,1.3033051631874364,True,True,1.0,True,True,0.625,-2.25,1.4375,-0.8125,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0062,java,easy,1.0562863832516385,-1.0562863832516383,True,True,-1.0,True,True,-0.125,0.125,-0.125,0.0,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0063,java,easy,1.4848122052212114,1.4848122052212114,False,False,,False,True,-0.25,-2.125,0.9375,-1.1875,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0064,java,easy,1.0007864513855749,-1.0007864513855749,False,False,,True,False,-0.125,-0.25,0.0625,-0.1875,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0065,java,easy,1.3136250490631527,1.3136250490631527,True,True,1.0,True,True,1.25,-3.0,2.125,-0.875,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0066,java,easy,1.4951320910969277,1.4951320910969275,True,True,1.0,True,True,1.375,-2.875,2.125,-0.75,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0067,java,easy,1.676639133130703,1.6766391331307027,True,True,1.0,True,True,1.875,-2.5,2.1875,-0.3125,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0068,java,easy,2.7916674696544987,2.7916674696544987,False,False,,False,True,-0.25,-0.375,0.0625,-0.3125,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0069,java,easy,1.832510652051475,1.8325106520514747,True,False,-1.0,False,False,-0.75,0.375,-0.5625,-0.1875,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0070,java,easy,2.8773811535026725,2.8773811535026725,True,True,1.0,True,True,0.75,-0.375,0.5625,0.1875,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0071,java,easy,2.3115631435430544,2.3115631435430544,True,True,1.0,True,True,0.0,-1.125,0.5625,-0.5625,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0072,java,easy,2.6745772276106043,2.6745772276106043,False,False,,False,True,-0.5,-0.375,-0.0625,-0.4375,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0073,java,easy,1.7670420174417305,1.7670420174417303,True,True,1.0,True,True,0.0,-1.625,0.8125,-0.8125,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0074,java,easy,1.7670420174417305,1.7670420174417303,True,True,1.0,True,True,0.625,-2.375,1.5,-0.875,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0075,java,easy,1.646030347673642,-1.646030347673642,False,False,,True,False,-1.5,-0.625,-0.4375,-1.0625,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0076,java,easy,2.317610729524489,-2.317610729524489,False,False,,True,False,-0.5,-0.625,0.0625,-0.5625,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0077,java,easy,2.8180039552172755,-2.8180039552172755,False,False,,True,False,-1.375,-0.375,-0.5,-0.875,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0078,java,easy,1.7175785069127514,-1.7175785069127514,True,True,-1.0,True,True,-1.5,0.0,-0.75,-0.75,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0079,java,easy,3.66133028005574,-3.66133028005574,True,True,-1.0,True,True,-1.625,1.375,-1.5,-0.125,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0080,java,easy,2.305963666441241,-2.305963666441241,False,False,,True,False,-1.0,-1.5,0.25,-1.25,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0081,java,easy,2.6347007001314773,-2.6347007001314773,False,False,,True,False,-0.875,-0.875,0.0,-0.875,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0082,java,easy,2.8510893001732094,-2.8510893001732094,False,False,,True,False,-1.5,-1.875,0.1875,-1.6875,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0083,java,easy,3.94013155237586,-3.9401315523758598,False,False,,True,False,-2.0,-0.125,-0.9375,-1.0625,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0084,java,easy,3.758624510342083,-3.7586245103420834,False,False,,True,False,-0.875,-2.25,0.6875,-1.5625,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0085,java,easy,1.39903296390301,-1.39903296390301,False,False,,True,False,-0.875,-1.0,0.0625,-0.9375,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0086,java,easy,1.6460303476736415,-1.6460303476736415,True,True,-1.0,True,True,-1.125,0.0,-0.5625,-0.5625,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0087,java,easy,1.619693862110862,-1.619693862110862,True,True,-1.0,True,True,-0.75,0.375,-0.5625,-0.1875,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0088,java,easy,1.3958337348272494,-1.3958337348272494,True,False,1.0,False,False,0.0,-0.75,0.375,-0.375,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0089,java,easy,1.98840465998976,-1.9884046599897598,True,True,-1.0,True,True,-1.375,0.125,-0.75,-0.625,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0090,java,easy,1.448506705952805,-1.448506705952805,True,True,-1.0,True,True,-1.0,0.125,-0.5625,-0.4375,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0091,java,easy,1.965033979369205,-1.9650339793692058,True,True,-1.0,True,True,-1.375,0.0,-0.6875,-0.6875,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0092,java,easy,1.4419850366946836,-1.4419850366946836,False,False,,True,False,-0.125,-1.125,0.5,-0.625,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0093,java,easy,1.0469954068895824,1.0469954068895824,False,False,,False,True,-0.125,-0.125,0.0,-0.125,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0094,java,easy,1.6969071074753348,-1.6969071074753348,False,False,,True,False,-1.375,-0.75,-0.3125,-1.0625,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0095,java,easy,2.4229352756104348,-2.4229352756104348,True,True,-1.0,True,True,-0.75,0.5,-0.625,-0.125,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0096,java,easy,2.0599211915428848,-2.0599211915428848,False,False,,True,False,-0.625,-1.5,0.4375,-1.0625,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0097,java,easy,2.106918845022262,2.106918845022262,False,False,,False,True,-0.625,-0.5,-0.0625,-0.5625,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0098,java,easy,1.738208047143366,1.738208047143366,True,True,1.0,True,True,0.0,-1.0,0.5,-0.5,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0099,java,easy,1.4670129939644752,1.4670129939644752,True,False,-1.0,False,False,-1.5,0.875,-1.1875,-0.3125,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0100,java,easy,1.1146876168581417,1.1146876168581417,True,False,-1.0,False,False,-1.25,0.5,-0.875,-0.375,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0101,java,easy,1.4481558337827165,1.4481558337827165,False,False,,False,True,-1.625,-0.75,-0.4375,-1.1875,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0102,java,easy,2.1741840019178165,2.1741840019178165,False,False,,False,True,-0.5,-1.625,0.5625,-1.0625,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0103,java,easy,1.8111699178502665,1.8111699178502665,False,False,,False,True,-0.875,-0.625,-0.125,-0.75,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0104,java,easy,1.2641513070133583,-1.2641513070133585,True,False,1.0,False,False,0.375,-0.5,0.4375,-0.0625,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0105,java,easy,1.5767457582737885,-1.5767457582737885,True,False,1.0,False,False,0.0,-0.875,0.4375,-0.4375,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0106,java,easy,1.292008972274279,-1.292008972274279,False,False,,True,False,-0.625,-1.125,0.25,-0.875,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0107,java,easy,2.586342266607722,-2.586342266607722,True,False,1.0,False,False,0.875,-0.75,0.8125,0.0625,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0108,java,easy,2.200148690073797,-2.200148690073797,False,False,,True,False,-0.375,-0.25,-0.0625,-0.3125,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0109,java,easy,1.474120521938697,-1.474120521938697,True,False,1.0,False,False,1.625,-1.75,1.6875,-0.0625,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0110,java,easy,1.111106437871148,-1.111106437871148,True,False,1.0,False,False,0.5,-2.125,1.3125,-0.8125,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0111,java,easy,2.200148690073797,-2.200148690073797,True,False,1.0,False,False,0.0,-0.375,0.1875,-0.1875,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0112,java,easy,1.3299925209203034,1.3299925209203034,False,False,,False,True,-0.5,-0.75,0.125,-0.625,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0113,java,easy,1.5143479198597514,1.5143479198597514,False,False,,False,True,-0.375,-0.5,0.0625,-0.4375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0114,java,easy,1.7029756186934808,1.7029756186934808,True,True,1.0,True,True,0.0,-1.25,0.625,-0.625,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0115,java,easy,1.0797959080739097,-1.0797959080739095,True,True,-1.0,True,True,-1.25,0.25,-0.75,-0.5,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0116,java,easy,1.3563290064830809,1.3563290064830809,True,False,-1.0,False,False,-1.25,0.125,-0.6875,-0.5625,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0117,java,easy,2.9148836752632548,2.9148836752632548,True,False,-1.0,False,False,-1.25,0.75,-1.0,-0.25,False,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0118,java,easy,1.3856312969880842,-1.3856312969880842,True,True,-1.0,True,True,-1.75,1.125,-1.4375,-0.3125,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0119,java,easy,1.6051012054124107,1.6051012054124107,False,False,,False,True,-1.125,-1.75,0.3125,-1.4375,True,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0120,java,easy,1.2420871213448608,1.2420871213448608,False,False,,False,True,-1.75,-1.75,0.0,-1.75,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0121,java,easy,1.9795087171026524,1.9795087171026524,False,False,,False,True,-1.25,-0.625,-0.3125,-0.9375,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0122,java,easy,1.171973607543633,-1.1719736075436327,True,False,1.0,False,False,0.25,-1.625,0.9375,-0.6875,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0123,java,easy,1.027122936948353,1.027122936948353,True,True,1.0,True,True,0.625,-1.875,1.25,-0.625,True,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0124,java,easy,1.0347793891513497,-1.0347793891513495,True,False,1.0,False,False,0.0,-0.375,0.1875,-0.1875,False,False,True,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0125,java,easy,2.7663945136795123,-2.7663945136795123,False,False,,True,False,-0.875,-0.25,-0.3125,-0.5625,True,False,False,False
