experiment,model,language,baseline,condition,n,baseline_only_correct,condition_only_correct,accuracy_delta,delta_cluster_robust_se,delta_ci_low,delta_ci_high,delta_ci_method,mcnemar_exact_p,holm_p,holm_reject_0_05,direction,effect_size,representative_family
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,85,67,-0.018,0.0191922498941629,-0.0556161185748519,0.0196161185748519,two-way snippet-cluster robust normal interval,0.1677219931791974,0.8386099658959872,False,decrease,-0.018,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,48,55,0.007,0.0144982621717224,-0.0214160716949955,0.0354160716949955,two-way snippet-cluster robust normal interval,0.5546010666648736,1.0,False,increase,0.007,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,92,50,-0.042,0.0208431719275162,-0.0828518663015081,-0.0011481336984918,two-way snippet-cluster robust normal interval,0.0005337707534569,0.0053377075345693,True,decrease,-0.042,wrap_60_vs_80
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,96,47,-0.049,0.0189484747143404,-0.0861383280020751,-0.0118616719979248,two-way snippet-cluster robust normal interval,5.103511101755181e-05,0.000561386221193,True,decrease,-0.049,font_20_vs_24
grid,OpenGVLab/InternVL3-8B,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,32,50,0.018,0.0129475270225629,-0.0073766866530825,0.0433766866530826,two-way snippet-cluster robust normal interval,0.0598083383343161,0.358850030005897,False,increase,0.018,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,82,52,-0.03,0.0152458650131764,-0.0598813463389852,-0.0001186536610147,two-way snippet-cluster robust normal interval,0.011951543889931,0.0717092633395865,False,decrease,-0.03,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,73,33,-0.04,0.01173343939346,-0.0629971186259651,-0.0170028813740348,two-way snippet-cluster robust normal interval,0.0001282207294683,0.0011539865652152,True,decrease,-0.04,theme
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,73,55,-0.018,0.0178394031290286,-0.0529645876385873,0.0169645876385873,two-way snippet-cluster robust normal interval,0.1326248013249822,0.663124006624911,False,decrease,-0.018,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,51,65,0.014,0.0128913000120235,-0.0112664837374669,0.0392664837374669,two-way snippet-cluster robust normal interval,0.2272749463316085,0.6862587886169697,False,increase,0.014,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,99,58,-0.041,0.0165084425673653,-0.073355952872884,-0.0086440471271159,two-way snippet-cluster robust normal interval,0.001335249186999,0.0093467443089934,True,decrease,-0.041,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,90,17,-0.073,0.0113685216277226,-0.0952818929478011,-0.0507181070521988,two-way snippet-cluster robust normal interval,3.505779998119024e-13,3.856357997930926e-12,True,decrease,-0.073,theme
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,81,42,-0.039,0.0148470642215894,-0.0680997111504685,-0.0099002888495314,two-way snippet-cluster robust normal interval,0.0005560923592546,0.0044487388740373,True,decrease,-0.039,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,45,60,0.015,0.0131739933201744,-0.010820552440113,0.040820552440113,two-way snippet-cluster robust normal interval,0.1715646971542424,0.6862587886169697,False,increase,0.015,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,79,66,-0.013,0.0186111773942435,-0.0494772374026032,0.0234772374026032,two-way snippet-cluster robust normal interval,0.3189894748159891,0.6862587886169697,False,decrease,-0.013,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,65,66,0.001,0.0172384278865562,-0.0327866978077412,0.0347866978077412,two-way snippet-cluster robust normal interval,1.0,1.0,False,increase,0.001,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,cuda,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,37,80,0.043,0.0153167621904891,0.0129796977468764,0.0730203022531235,two-way snippet-cluster robust normal interval,8.717436729426461e-05,0.0008717436729426,True,increase,0.043,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,97,69,-0.028,0.015924605364027,-0.0592116529815064,0.0032116529815064,two-way snippet-cluster robust normal interval,0.0357990157190585,0.1789950785952926,False,decrease,-0.028,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,56,45,-0.011,0.0123736701911761,-0.0352519479312821,0.0132519479312821,two-way snippet-cluster robust normal interval,0.3197273207002654,1.0,False,decrease,-0.011,theme
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,96,64,-0.032,0.0165067627353154,-0.0643526604625661,0.0003526604625661,two-way snippet-cluster robust normal interval,0.0140010161596295,0.0840060969577773,False,decrease,-0.032,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,45,98,0.053,0.0142015459017671,0.0251654815077439,0.080834518492256,two-way snippet-cluster robust normal interval,1.1017914884205346e-05,0.000110179148842,True,increase,0.053,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,107,64,-0.043,0.0169504355696247,-0.0762222432387311,-0.0097777567612688,two-way snippet-cluster robust normal interval,0.0012521567557723,0.0087650972904066,True,decrease,-0.043,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,55,51,-0.004,0.0128655409524822,-0.0292159969084903,0.0212159969084903,two-way snippet-cluster robust normal interval,0.7709189909371139,1.0,False,decrease,-0.004,theme
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,99,52,-0.047,0.0167739532013179,-0.0798763441529434,-0.0141236558470565,two-way snippet-cluster robust normal interval,0.000162429160393,0.0012994332831446,True,decrease,-0.047,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,47,93,0.046,0.0131192051588501,0.0202868303828617,0.0717131696171382,two-way snippet-cluster robust normal interval,0.0001256294734039,0.0011306652606358,True,increase,0.046,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,75,76,0.001,0.0164011473379151,-0.0311456580874486,0.0331456580874486,two-way snippet-cluster robust normal interval,1.0,1.0,False,increase,0.001,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,77,69,-0.008,0.0143813968723487,-0.0361870199171804,0.0201870199171804,two-way snippet-cluster robust normal interval,0.5625209423048497,1.0,False,decrease,-0.008,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,java,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,37,117,0.08,0.013271684143318,0.0539879770649053,0.1060120229350946,two-way snippet-cluster robust normal interval,7.164586563667084e-11,7.881045220033791e-10,True,increase,0.08,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap60__lnon,1000,76,71,-0.005,0.0210624630563474,-0.0462816690161464,0.0362816690161464,two-way snippet-cluster robust normal interval,0.741591942446161,1.0,False,decrease,-0.005,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs20__wrap80__lnon,1000,64,59,-0.005,0.0154488624176669,-0.0352792139407416,0.0252792139407416,two-way snippet-cluster robust normal interval,0.7185088365549671,1.0,False,decrease,-0.005,theme
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap60__lnon,1000,76,72,-0.004,0.0192730252944367,-0.0417744354502255,0.0337744354502255,two-way snippet-cluster robust normal interval,0.8053209566401813,1.0,False,decrease,-0.004,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,friendly_light__fs24__wrap80__lnon,1000,52,86,0.034,0.0160737258904089,0.0024960761574295,0.0655039238425705,two-way snippet-cluster robust normal interval,0.0047862663560003,0.0478626635600036,True,increase,0.034,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap60__lnon,1000,72,79,0.007,0.0205062821106118,-0.0331915743936172,0.0471915743936172,two-way snippet-cluster robust normal interval,0.6255036238897113,1.0,False,increase,0.007,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs20__wrap80__lnon,1000,57,70,0.013,0.0173118712449001,-0.0209306441449988,0.0469306441449988,two-way snippet-cluster robust normal interval,0.2869146072030987,1.0,False,increase,0.013,theme
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap60__lnon,1000,93,67,-0.026,0.0235398288863789,-0.0721372168195383,0.0201372168195383,two-way snippet-cluster robust normal interval,0.0477669960282762,0.3821359682262097,False,decrease,-0.026,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,mono_light__fs24__wrap80__lnon,1000,58,88,0.03,0.018205620011414,-0.0056823595385931,0.0656823595385932,two-way snippet-cluster robust normal interval,0.016098919102099,0.1448902719188917,False,increase,0.03,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs20__wrap60__lnon,1000,64,87,0.023,0.0206739141431901,-0.017520127140126,0.063520127140126,two-way snippet-cluster robust normal interval,0.0730491594416181,0.511344116091327,False,increase,0.023,wrap_60_vs_80
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap60__lnon,1000,73,78,0.005,0.0215631015858109,-0.0372629025031679,0.0472629025031679,two-way snippet-cluster robust normal interval,0.7449138782509725,1.0,False,increase,0.005,font_20_vs_24
grid,Qwen/Qwen2.5-VL-7B-Instruct,python,monokai_dark__fs20__wrap80__lnon,monokai_dark__fs24__wrap80__lnon,1000,42,126,0.084,0.0196928226519206,0.045402776848301,0.1225972231516989,two-way snippet-cluster robust normal interval,6.009507673225859e-11,6.610458440548444e-10,True,increase,0.084,font_20_vs_24
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,gaussian_sigma_1,1000,48,75,0.027,0.0168436244318138,-0.0060128972554741,0.0600128972554741,two-way snippet-cluster robust normal interval,0.018693425409254,0.0560802762277621,False,increase,0.027,blur
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,gaussian_sigma_2,1000,62,125,0.063,0.0226449712739936,0.0186166718720283,0.1073833281279716,two-way snippet-cluster robust normal interval,4.760736467101293e-06,1.904294586840517e-05,True,increase,0.063,blur
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,gaussian_sigma_4,1000,50,284,0.234,0.0281269155081036,0.1788722586079157,0.2891277413920842,two-way snippet-cluster robust normal interval,7.355997252751073e-41,3.677998626375537e-40,True,increase,0.234,blur
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,no_blank_lines,1000,44,67,0.023,0.0164235344551652,-0.0091895360309765,0.0551895360309765,two-way snippet-cluster robust normal interval,0.0363064911413178,0.0726129822826356,False,increase,0.023,
perturbation,OpenGVLab/InternVL3-8B,cuda,baseline,no_indent,1000,50,71,0.021,0.0141732013320915,-0.0067789641565345,0.0487789641565345,two-way snippet-cluster robust normal interval,0.0685936381206144,0.0726129822826356,False,increase,0.021,no_indent
perturbation,OpenGVLab/InternVL3-8B,java,baseline,gaussian_sigma_1,1000,32,57,0.025,0.0093872919417689,0.0066012458817697,0.0433987541182302,two-way snippet-cluster robust normal interval,0.0105468972311055,0.042187588924422,True,increase,0.025,blur
perturbation,OpenGVLab/InternVL3-8B,java,baseline,gaussian_sigma_2,1000,34,112,0.078,0.0131389975264477,0.0522480380552015,0.1037519619447984,two-way snippet-cluster robust normal interval,6.421318473021572e-11,3.210659236510786e-10,True,increase,0.078,blur
perturbation,OpenGVLab/InternVL3-8B,java,baseline,gaussian_sigma_4,1000,144,165,0.021,0.0217969400145983,-0.0217212174017927,0.0637212174017927,two-way snippet-cluster robust normal interval,0.2551833358841222,0.2551833358841222,False,increase,0.021,blur
perturbation,OpenGVLab/InternVL3-8B,java,baseline,no_blank_lines,1000,40,62,0.022,0.0110720755055228,0.000299130775067,0.0437008692249329,two-way snippet-cluster robust normal interval,0.0370667674385605,0.1056330605394268,False,increase,0.022,
perturbation,OpenGVLab/InternVL3-8B,java,baseline,no_indent,1000,63,90,0.027,0.0133105667046898,0.0009117686449899,0.05308823135501,two-way snippet-cluster robust normal interval,0.0352110201798089,0.1056330605394268,False,increase,0.027,no_indent
perturbation,OpenGVLab/InternVL3-8B,python,baseline,gaussian_sigma_1,1000,36,67,0.031,0.015685704765805,0.0002565835868938,0.0617434164131062,two-way snippet-cluster robust normal interval,0.0029291945870261,0.0029291945870261,True,increase,0.031,blur
perturbation,OpenGVLab/InternVL3-8B,python,baseline,gaussian_sigma_2,1000,30,123,0.093,0.0182120840652573,0.0573049711486798,0.1286950288513201,two-way snippet-cluster robust normal interval,1.4331428712478283e-14,5.732571484991313e-14,True,increase,0.093,blur
perturbation,OpenGVLab/InternVL3-8B,python,baseline,gaussian_sigma_4,1000,93,246,0.153,0.0370448842082142,0.0803933611404434,0.2256066388595565,two-way snippet-cluster robust normal interval,4.35913668264341e-17,2.1795683413217047e-16,True,increase,0.153,blur
perturbation,OpenGVLab/InternVL3-8B,python,baseline,no_blank_lines,1000,47,97,0.05,0.0187279203330215,0.0132939506419424,0.0867060493580575,two-way snippet-cluster robust normal interval,3.755709704208482e-05,0.0001126712911262,True,increase,0.05,
perturbation,OpenGVLab/InternVL3-8B,python,baseline,no_indent,1000,53,97,0.044,0.0217578947511012,0.0013553099084284,0.0866446900915715,two-way snippet-cluster robust normal interval,0.0004097727655173,0.0008195455310347,True,increase,0.044,no_indent
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,baseline,gaussian_sigma_1,1000,56,44,-0.012,0.0129247446396437,-0.0373320340030787,0.0133320340030787,two-way snippet-cluster robust normal interval,0.2712530240738354,0.3829975437469415,False,decrease,-0.012,blur
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,baseline,gaussian_sigma_2,1000,82,37,-0.045,0.0147772426385979,-0.0739628633624616,-0.0160371366375383,two-way snippet-cluster robust normal interval,4.5251347234619534e-05,0.0001357540417038,True,decrease,-0.045,blur
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,baseline,gaussian_sigma_4,1000,205,79,-0.126,0.0294201783815122,-0.1836624900465079,-0.068337509953492,two-way snippet-cluster robust normal interval,4.5547557760186124e-14,2.277377888009306e-13,True,decrease,-0.126,blur
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,baseline,no_blank_lines,1000,92,31,-0.061,0.0115353593788837,-0.0836088889313384,-0.0383911110686615,two-way snippet-cluster robust normal interval,3.3173529174399884e-08,1.3269411669759953e-07,True,decrease,-0.061,
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,cuda,baseline,no_indent,1000,74,58,-0.016,0.0146829620989772,-0.044778076900362,0.012778076900362,two-way snippet-cluster robust normal interval,0.1914987718734707,0.3829975437469415,False,decrease,-0.016,no_indent
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,baseline,gaussian_sigma_1,1000,53,53,0.0,0.0124096736459908,-0.0243225134060379,0.0243225134060379,two-way snippet-cluster robust normal interval,1.0,1.0,False,no_change,0.0,blur
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,baseline,gaussian_sigma_2,1000,59,59,0.0,0.0129614813968157,-0.0254040367240447,0.0254040367240447,two-way snippet-cluster robust normal interval,1.0,1.0,False,no_change,0.0,blur
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,baseline,gaussian_sigma_4,1000,216,80,-0.136,0.0239963010482866,-0.1830318858168225,-0.0889681141831775,two-way snippet-cluster robust normal interval,1.3301041916749277e-15,6.650520958374639e-15,True,decrease,-0.136,blur
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,baseline,no_blank_lines,1000,53,29,-0.024,0.0095211965634577,-0.0426612023541036,-0.0053387976458963,two-way snippet-cluster robust normal interval,0.0106374878781477,0.0425499515125908,True,decrease,-0.024,
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,java,baseline,no_indent,1000,79,52,-0.027,0.0131039378051026,-0.0526832461536539,-0.001316753846346,two-way snippet-cluster robust normal interval,0.022743268128245,0.068229804384735,False,decrease,-0.027,no_indent
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,baseline,gaussian_sigma_1,1000,46,60,0.014,0.0139590266136288,-0.0133591894219486,0.0413591894219486,two-way snippet-cluster robust normal interval,0.2064982073597099,0.8259928294388398,False,increase,0.014,blur
perturbation,Qwen/Qwen2.5-VL-7B-Instruct,python,baseline,gaussian_sigma_2,1000,64,74,0.01,0.0172386020314873,-0.0237870391255341,0.0437870391255341,two-way snippet-cluster robust normal interval,0.4437150035266714,0.992807486826641,False,increase,0.01,blur
