system,language,pair_id,difficulty,abs_z_diff,snippet_i,snippet_j,human_preference,selected_AB,selected_BA,parsed_choice_AB,parsed_choice_BA,margin_AB,margin_BA,valid,valid_correct,c,b,tie_c,boundary,d_selected,d_correct,ab_correct,ocr_correct
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00049,easy,1.982020282536916,dorn_cuda_012,dorn_cuda_084,dorn_cuda_012,dorn_cuda_012,dorn_cuda_012,A,B,1.75,-3.875,True,True,2.8125,-1.0625,False,False,dorn_cuda_012,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00050,easy,2.28218097962801,dorn_cuda_013,dorn_cuda_072,dorn_cuda_013,dorn_cuda_013,dorn_cuda_013,A,B,1.25,-1.875,True,True,1.5625,-0.3125,False,False,dorn_cuda_013,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00051,easy,1.8228816534478,dorn_cuda_010,dorn_cuda_119,dorn_cuda_119,dorn_cuda_119,dorn_cuda_119,B,A,-2.5,1.625,True,True,-2.0625,-0.4375,False,False,dorn_cuda_119,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00052,easy,1.275082791874181,dorn_cuda_019,dorn_cuda_042,dorn_cuda_019,dorn_cuda_042,dorn_cuda_042,B,A,-2.25,1.0,True,False,-1.625,-0.625,False,False,dorn_cuda_042,False,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00053,easy,1.309517798835703,dorn_cuda_005,dorn_cuda_071,dorn_cuda_005,dorn_cuda_005,dorn_cuda_005,A,B,0.75,-1.0,True,True,0.875,-0.125,False,False,dorn_cuda_005,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00054,easy,1.608754279829236,dorn_cuda_051,dorn_cuda_119,dorn_cuda_119,dorn_cuda_119,dorn_cuda_119,B,A,-1.375,1.25,True,True,-1.3125,-0.0625,False,False,dorn_cuda_119,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00055,easy,1.369175593547224,dorn_cuda_015,dorn_cuda_090,dorn_cuda_090,dorn_cuda_015,dorn_cuda_090,A,A,0.0,0.375,False,False,-0.1875,0.1875,False,True,dorn_cuda_090,True,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00056,easy,3.25346285642524,dorn_cuda_065,dorn_cuda_114,dorn_cuda_065,dorn_cuda_065,dorn_cuda_065,A,B,1.375,-2.25,True,True,1.8125,-0.4375,False,False,dorn_cuda_065,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00057,easy,3.149755707740293,dorn_cuda_004,dorn_cuda_093,dorn_cuda_004,dorn_cuda_004,dorn_cuda_004,A,B,2.25,-4.0,True,True,3.125,-0.875,False,False,dorn_cuda_004,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00058,easy,1.207352785576447,dorn_cuda_052,dorn_cuda_105,dorn_cuda_052,dorn_cuda_052,dorn_cuda_052,A,B,0.25,-0.25,True,True,0.25,0.0,False,False,dorn_cuda_052,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00059,easy,2.334080332963078,dorn_cuda_004,dorn_cuda_010,dorn_cuda_004,dorn_cuda_004,dorn_cuda_004,A,B,1.25,-2.0,True,True,1.625,-0.375,False,False,dorn_cuda_004,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00060,easy,1.426814661845416,dorn_cuda_001,dorn_cuda_022,dorn_cuda_022,dorn_cuda_022,dorn_cuda_022,B,A,-0.875,0.625,True,True,-0.75,-0.125,False,False,dorn_cuda_022,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00061,easy,1.758937349042358,dorn_cuda_047,dorn_cuda_080,dorn_cuda_080,dorn_cuda_080,dorn_cuda_047,B,B,-1.375,-1.0,False,False,-0.1875,-1.1875,False,False,dorn_cuda_080,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00062,easy,1.794567059533505,dorn_cuda_028,dorn_cuda_063,dorn_cuda_028,dorn_cuda_028,dorn_cuda_028,A,B,0.625,-1.0,True,True,0.8125,-0.1875,False,False,dorn_cuda_028,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00063,easy,2.202416704157281,dorn_cuda_073,dorn_cuda_093,dorn_cuda_073,dorn_cuda_073,dorn_cuda_073,A,B,2.0,-2.75,True,True,2.375,-0.375,False,False,dorn_cuda_073,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00064,easy,1.054879996396407,dorn_cuda_032,dorn_cuda_044,dorn_cuda_044,dorn_cuda_044,dorn_cuda_032,B,B,-0.25,-1.125,False,False,0.4375,-0.6875,False,False,dorn_cuda_032,False,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00065,easy,1.429066334848058,dorn_cuda_060,dorn_cuda_075,dorn_cuda_060,dorn_cuda_075,dorn_cuda_075,B,A,-0.75,0.125,True,False,-0.4375,-0.3125,False,False,dorn_cuda_075,False,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00066,easy,2.192821425378889,dorn_cuda_042,dorn_cuda_108,dorn_cuda_042,dorn_cuda_042,dorn_cuda_042,A,B,1.125,-3.125,True,True,2.125,-1.0,False,False,dorn_cuda_042,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00067,easy,1.755969970355848,dorn_cuda_010,dorn_cuda_060,dorn_cuda_060,dorn_cuda_060,dorn_cuda_010,B,B,-0.625,-0.75,False,False,0.0625,-0.6875,False,False,dorn_cuda_010,False,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00068,easy,1.229743347420798,dorn_cuda_021,dorn_cuda_043,dorn_cuda_021,dorn_cuda_043,dorn_cuda_043,B,A,-1.0,0.125,True,False,-0.5625,-0.4375,False,False,dorn_cuda_043,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00069,easy,3.285530639085085,dorn_cuda_088,dorn_cuda_114,dorn_cuda_088,dorn_cuda_114,dorn_cuda_088,B,B,-0.5,-1.875,False,False,0.6875,-1.1875,False,False,dorn_cuda_088,True,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00070,easy,1.080494539745418,dorn_cuda_017,dorn_cuda_033,dorn_cuda_017,dorn_cuda_017,dorn_cuda_017,A,B,1.375,-1.25,True,True,1.3125,0.0625,False,False,dorn_cuda_017,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00071,easy,1.669877056178672,dorn_cuda_027,dorn_cuda_067,dorn_cuda_027,dorn_cuda_027,dorn_cuda_027,A,B,0.25,-1.0,True,True,0.625,-0.375,False,False,dorn_cuda_027,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00072,easy,3.438319102800377,dorn_cuda_078,dorn_cuda_096,dorn_cuda_096,dorn_cuda_096,dorn_cuda_078,B,B,-0.125,-1.125,False,False,0.5,-0.625,False,False,dorn_cuda_078,False,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00073,easy,1.260876639392531,dorn_cuda_004,dorn_cuda_094,dorn_cuda_004,dorn_cuda_004,dorn_cuda_004,A,B,0.125,-0.625,True,True,0.375,-0.25,False,False,dorn_cuda_004,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00074,easy,1.521375333917308,dorn_cuda_059,dorn_cuda_072,dorn_cuda_059,dorn_cuda_072,dorn_cuda_059,B,B,-0.5,-0.125,False,False,-0.1875,-0.3125,False,False,dorn_cuda_072,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00075,easy,1.130978424857466,dorn_cuda_005,dorn_cuda_113,dorn_cuda_005,dorn_cuda_005,dorn_cuda_005,A,B,1.125,-2.25,True,True,1.6875,-0.5625,False,False,dorn_cuda_005,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00076,easy,1.5062053887729432,dorn_cuda_113,dorn_cuda_116,dorn_cuda_116,dorn_cuda_116,dorn_cuda_116,B,A,-2.75,1.75,True,True,-2.25,-0.5,False,False,dorn_cuda_116,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00077,easy,1.456143159748571,dorn_cuda_029,dorn_cuda_064,dorn_cuda_029,dorn_cuda_064,dorn_cuda_029,B,B,-1.125,-1.75,False,False,0.3125,-1.4375,False,False,dorn_cuda_029,True,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00078,easy,3.34214526220564,dorn_cuda_040,dorn_cuda_064,dorn_cuda_040,dorn_cuda_040,dorn_cuda_040,A,B,0.5,-0.875,True,True,0.6875,-0.1875,False,False,dorn_cuda_040,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00079,easy,1.308518223165176,dorn_cuda_007,dorn_cuda_057,dorn_cuda_057,dorn_cuda_057,dorn_cuda_057,B,A,-2.25,2.75,True,True,-2.5,0.25,False,False,dorn_cuda_057,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00080,easy,1.722886640896762,dorn_cuda_088,dorn_cuda_097,dorn_cuda_088,dorn_cuda_097,dorn_cuda_097,B,A,-1.125,0.375,True,False,-0.75,-0.375,False,False,dorn_cuda_097,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00081,easy,3.23564372516403,dorn_cuda_034,dorn_cuda_040,dorn_cuda_040,dorn_cuda_040,dorn_cuda_040,B,A,-0.875,0.5,True,True,-0.6875,-0.1875,False,False,dorn_cuda_040,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00082,easy,2.196149897571389,dorn_cuda_109,dorn_cuda_113,dorn_cuda_109,dorn_cuda_109,dorn_cuda_109,A,B,0.625,-1.5,True,True,1.0625,-0.4375,False,False,dorn_cuda_109,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00083,easy,2.3506006526361523,dorn_cuda_027,dorn_cuda_093,dorn_cuda_027,dorn_cuda_027,dorn_cuda_027,A,B,2.0,-3.0,True,True,2.5,-0.5,False,False,dorn_cuda_027,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00084,easy,1.6126122355015542,dorn_cuda_056,dorn_cuda_100,dorn_cuda_100,dorn_cuda_100,dorn_cuda_100,B,A,-1.5,0.75,True,True,-1.125,-0.375,False,False,dorn_cuda_100,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00085,easy,1.7207882405105641,dorn_cuda_026,dorn_cuda_066,dorn_cuda_026,dorn_cuda_066,dorn_cuda_026,B,B,-0.5,-0.75,False,False,0.125,-0.625,False,False,dorn_cuda_026,True,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00086,easy,2.096321774473883,dorn_cuda_078,dorn_cuda_104,dorn_cuda_104,dorn_cuda_104,dorn_cuda_104,B,A,-2.25,0.875,True,True,-1.5625,-0.6875,False,False,dorn_cuda_104,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00087,easy,1.20809561859911,dorn_cuda_033,dorn_cuda_093,dorn_cuda_033,dorn_cuda_033,dorn_cuda_033,A,B,0.75,-1.25,True,True,1.0,-0.25,False,False,dorn_cuda_033,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00088,easy,1.872128906667005,dorn_cuda_041,dorn_cuda_104,dorn_cuda_041,dorn_cuda_041,dorn_cuda_041,A,B,0.375,-2.0,True,True,1.1875,-0.8125,False,False,dorn_cuda_041,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00089,easy,1.669741613177877,dorn_cuda_098,dorn_cuda_101,dorn_cuda_101,dorn_cuda_101,dorn_cuda_101,B,A,-2.0,0.75,True,True,-1.375,-0.625,False,False,dorn_cuda_101,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00090,easy,1.314516298464485,dorn_cuda_025,dorn_cuda_033,dorn_cuda_033,dorn_cuda_033,dorn_cuda_025,B,B,-0.25,-0.125,False,False,-0.0625,-0.1875,False,False,dorn_cuda_033,True,True,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00091,easy,1.418710108349873,dorn_cuda_003,dorn_cuda_078,dorn_cuda_003,dorn_cuda_003,dorn_cuda_003,A,B,0.875,-2.0,True,True,1.4375,-0.5625,False,False,dorn_cuda_003,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00092,easy,1.008723058930284,dorn_cuda_102,dorn_cuda_111,dorn_cuda_111,dorn_cuda_102,dorn_cuda_102,A,B,1.875,-0.625,True,False,1.25,0.625,False,False,dorn_cuda_102,False,False,False
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00093,easy,3.220471379741492,dorn_cuda_025,dorn_cuda_096,dorn_cuda_096,dorn_cuda_025,dorn_cuda_025,A,B,1.0,-1.875,True,False,1.4375,-0.4375,False,False,dorn_cuda_025,False,False,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00094,easy,2.366266695766651,dorn_cuda_077,dorn_cuda_078,dorn_cuda_077,dorn_cuda_077,dorn_cuda_077,A,B,0.625,-2.375,True,True,1.5,-0.875,False,False,dorn_cuda_077,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00095,easy,1.186336048045366,dorn_cuda_028,dorn_cuda_109,dorn_cuda_109,dorn_cuda_109,dorn_cuda_028,B,B,-0.5,-0.25,False,False,-0.125,-0.375,False,False,dorn_cuda_109,True,True,True
direct_qwen_image_only,cuda,ext_dorn_cuda_easy_00096,easy,1.505611718718853,dorn_cuda_031,dorn_cuda_036,dorn_cuda_031,dorn_cuda_031,dorn_cuda_031,A,B,1.25,-1.25,True,True,1.25,0.0,False,False,dorn_cuda_031,True,True,True
