model_key,model_name,pair_id,language,difficulty,snippet_x_id,snippet_y_id,human_preference,ab_verdict,ba_verdict,ab_choice,ba_choice,ab_parse_fail,ba_parse_fail,is_valid_strict_swap,is_correct_and_valid
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0191__rq0_0285,java,medium,rq0_0191,rq0_0285,rq0_0191,A,B,rq0_0191,rq0_0191,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0033__rq0_0272,java,easy,rq0_0033,rq0_0272,rq0_0272,B,A,rq0_0272,rq0_0272,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0025__rq0_0159,java,hard,rq0_0025,rq0_0159,rq0_0025,A,B,rq0_0025,rq0_0025,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0072__rq0_0140,java,hard,rq0_0072,rq0_0140,rq0_0072,A,A,rq0_0072,rq0_0140,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0156__rq0_0229,java,hard,rq0_0156,rq0_0229,rq0_0156,A,B,rq0_0156,rq0_0156,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0150__rq0_0202,java,easy,rq0_0150,rq0_0202,rq0_0150,B,B,rq0_0202,rq0_0150,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0189__rq0_0306,java,hard,rq0_0189,rq0_0306,rq0_0306,B,B,rq0_0306,rq0_0189,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0050__rq0_0243,java,easy,rq0_0050,rq0_0243,rq0_0243,B,A,rq0_0243,rq0_0243,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0064__rq0_0280,java,easy,rq0_0064,rq0_0280,rq0_0280,B,A,rq0_0280,rq0_0280,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0155__rq0_0205,java,hard,rq0_0155,rq0_0205,rq0_0155,A,A,rq0_0155,rq0_0205,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0091__rq0_0204,java,easy,rq0_0091,rq0_0204,rq0_0204,B,B,rq0_0204,rq0_0091,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0266,java,medium,rq0_0001,rq0_0266,rq0_0266,B,A,rq0_0266,rq0_0266,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0023__rq0_0260,java,easy,rq0_0023,rq0_0260,rq0_0260,A,B,rq0_0023,rq0_0023,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0127__rq0_0275,java,easy,rq0_0127,rq0_0275,rq0_0275,A,B,rq0_0127,rq0_0127,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0147__rq0_0286,java,easy,rq0_0147,rq0_0286,rq0_0147,A,B,rq0_0147,rq0_0147,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0016__rq0_0029,java,easy,rq0_0016,rq0_0029,rq0_0029,A,A,rq0_0016,rq0_0029,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0026__rq0_0109,java,medium,rq0_0026,rq0_0109,rq0_0109,A,B,rq0_0026,rq0_0026,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0094__rq0_0111,java,easy,rq0_0094,rq0_0111,rq0_0094,A,A,rq0_0094,rq0_0111,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0197__rq0_0199,java,hard,rq0_0197,rq0_0199,rq0_0199,B,B,rq0_0199,rq0_0197,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0089__rq0_0263,java,medium,rq0_0089,rq0_0263,rq0_0263,B,A,rq0_0263,rq0_0263,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0126__rq0_0282,java,medium,rq0_0126,rq0_0282,rq0_0282,B,A,rq0_0282,rq0_0282,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0051__rq0_0130,java,hard,rq0_0051,rq0_0130,rq0_0130,B,A,rq0_0130,rq0_0130,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0080,java,hard,rq0_0001,rq0_0080,rq0_0080,B,A,rq0_0080,rq0_0080,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0130__rq0_0263,java,hard,rq0_0130,rq0_0263,rq0_0130,A,B,rq0_0130,rq0_0130,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0136__rq0_0236,java,medium,rq0_0136,rq0_0236,rq0_0236,A,B,rq0_0136,rq0_0136,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0034__rq0_0167,java,easy,rq0_0034,rq0_0167,rq0_0167,B,A,rq0_0167,rq0_0167,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0167,java,medium,rq0_0001,rq0_0167,rq0_0001,B,A,rq0_0167,rq0_0167,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0092__rq0_0235,java,medium,rq0_0092,rq0_0235,rq0_0092,A,B,rq0_0092,rq0_0092,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0072__rq0_0131,java,hard,rq0_0072,rq0_0131,rq0_0072,B,A,rq0_0131,rq0_0131,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0212__rq0_0216,java,medium,rq0_0212,rq0_0216,rq0_0216,B,B,rq0_0216,rq0_0212,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0075__rq0_0302,java,hard,rq0_0075,rq0_0302,rq0_0302,A,B,rq0_0075,rq0_0075,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0133__rq0_0177,java,medium,rq0_0133,rq0_0177,rq0_0177,B,A,rq0_0177,rq0_0177,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0099__rq0_0199,java,hard,rq0_0099,rq0_0199,rq0_0099,A,B,rq0_0099,rq0_0099,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0022__rq0_0262,java,hard,rq0_0022,rq0_0262,rq0_0022,A,B,rq0_0022,rq0_0022,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0273__rq0_0277,java,hard,rq0_0273,rq0_0277,rq0_0273,B,B,rq0_0277,rq0_0273,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0071__rq0_0261,java,easy,rq0_0071,rq0_0261,rq0_0071,A,B,rq0_0071,rq0_0071,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0014__rq0_0094,java,easy,rq0_0014,rq0_0094,rq0_0094,B,A,rq0_0094,rq0_0094,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0075__rq0_0110,java,hard,rq0_0075,rq0_0110,rq0_0110,A,A,rq0_0075,rq0_0110,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0041__rq0_0055,java,medium,rq0_0041,rq0_0055,rq0_0055,A,A,rq0_0041,rq0_0055,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0101__rq0_0154,java,easy,rq0_0101,rq0_0154,rq0_0154,A,A,rq0_0101,rq0_0154,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0133__rq0_0166,java,hard,rq0_0133,rq0_0166,rq0_0166,B,B,rq0_0166,rq0_0133,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0022__rq0_0063,java,hard,rq0_0022,rq0_0063,rq0_0022,A,A,rq0_0022,rq0_0063,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0181__rq0_0271,java,easy,rq0_0181,rq0_0271,rq0_0271,A,B,rq0_0181,rq0_0181,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0033__rq0_0171,java,easy,rq0_0033,rq0_0171,rq0_0171,B,A,rq0_0171,rq0_0171,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0003__rq0_0017,java,medium,rq0_0003,rq0_0017,rq0_0003,A,B,rq0_0003,rq0_0003,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0084__rq0_0205,java,easy,rq0_0084,rq0_0205,rq0_0205,B,A,rq0_0205,rq0_0205,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0175__rq0_0300,java,hard,rq0_0175,rq0_0300,rq0_0300,A,B,rq0_0175,rq0_0175,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0229__rq0_0274,java,medium,rq0_0229,rq0_0274,rq0_0229,B,B,rq0_0274,rq0_0229,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0297__rq0_0312,java,easy,rq0_0297,rq0_0312,rq0_0297,A,B,rq0_0297,rq0_0297,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0097__rq0_0129,java,medium,rq0_0097,rq0_0129,rq0_0129,B,A,rq0_0129,rq0_0129,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0288__rq0_0290,java,hard,rq0_0288,rq0_0290,rq0_0288,B,B,rq0_0290,rq0_0288,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0234__rq0_0267,java,easy,rq0_0234,rq0_0267,rq0_0234,A,B,rq0_0234,rq0_0234,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0143__rq0_0267,java,easy,rq0_0143,rq0_0267,rq0_0143,A,B,rq0_0143,rq0_0143,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0159__rq0_0250,java,medium,rq0_0159,rq0_0250,rq0_0250,B,A,rq0_0250,rq0_0250,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0030__rq0_0225,java,easy,rq0_0030,rq0_0225,rq0_0030,A,B,rq0_0030,rq0_0030,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0081__rq0_0222,java,easy,rq0_0081,rq0_0222,rq0_0222,B,A,rq0_0222,rq0_0222,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0110__rq0_0116,java,hard,rq0_0110,rq0_0116,rq0_0110,B,A,rq0_0116,rq0_0116,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0023__rq0_0203,java,easy,rq0_0023,rq0_0203,rq0_0203,B,A,rq0_0203,rq0_0203,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0126__rq0_0287,java,medium,rq0_0126,rq0_0287,rq0_0287,B,A,rq0_0287,rq0_0287,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0089__rq0_0195,java,medium,rq0_0089,rq0_0195,rq0_0195,B,A,rq0_0195,rq0_0195,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0021__rq0_0041,java,easy,rq0_0021,rq0_0041,rq0_0021,A,B,rq0_0021,rq0_0021,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0173__rq0_0201,java,easy,rq0_0173,rq0_0201,rq0_0173,B,A,rq0_0201,rq0_0201,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0002__rq0_0014,java,hard,rq0_0002,rq0_0014,rq0_0014,A,B,rq0_0002,rq0_0002,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0103__rq0_0142,java,hard,rq0_0103,rq0_0142,rq0_0103,B,A,rq0_0142,rq0_0142,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0022__rq0_0179,java,medium,rq0_0022,rq0_0179,rq0_0022,A,B,rq0_0022,rq0_0022,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0122__rq0_0246,java,hard,rq0_0122,rq0_0246,rq0_0122,B,A,rq0_0246,rq0_0246,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0124__rq0_0154,java,hard,rq0_0124,rq0_0154,rq0_0154,B,A,rq0_0154,rq0_0154,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0036__rq0_0135,java,hard,rq0_0036,rq0_0135,rq0_0036,A,B,rq0_0036,rq0_0036,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0108__rq0_0186,java,medium,rq0_0108,rq0_0186,rq0_0108,B,A,rq0_0186,rq0_0186,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0192__rq0_0226,java,medium,rq0_0192,rq0_0226,rq0_0192,B,B,rq0_0226,rq0_0192,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0099__rq0_0307,java,medium,rq0_0099,rq0_0307,rq0_0099,B,B,rq0_0307,rq0_0099,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0047__rq0_0225,java,easy,rq0_0047,rq0_0225,rq0_0047,A,B,rq0_0047,rq0_0047,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0086__rq0_0119,java,hard,rq0_0086,rq0_0119,rq0_0086,A,A,rq0_0086,rq0_0119,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0153__rq0_0241,java,medium,rq0_0153,rq0_0241,rq0_0241,A,B,rq0_0153,rq0_0153,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0121__rq0_0134,java,hard,rq0_0121,rq0_0134,rq0_0134,A,B,rq0_0121,rq0_0121,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0071__rq0_0093,java,hard,rq0_0071,rq0_0093,rq0_0071,B,A,rq0_0093,rq0_0093,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0063__rq0_0291,java,medium,rq0_0063,rq0_0291,rq0_0063,A,B,rq0_0063,rq0_0063,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0178__rq0_0299,java,medium,rq0_0178,rq0_0299,rq0_0178,A,B,rq0_0178,rq0_0178,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0026__rq0_0088,java,medium,rq0_0026,rq0_0088,rq0_0088,B,B,rq0_0088,rq0_0026,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0018__rq0_0051,java,medium,rq0_0018,rq0_0051,rq0_0018,A,B,rq0_0018,rq0_0018,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0064__rq0_0079,java,easy,rq0_0064,rq0_0079,rq0_0079,B,A,rq0_0079,rq0_0079,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0009__rq0_0096,java,medium,rq0_0009,rq0_0096,rq0_0009,A,B,rq0_0009,rq0_0009,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0092__rq0_0222,java,hard,rq0_0092,rq0_0222,rq0_0092,A,B,rq0_0092,rq0_0092,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0001__rq0_0153,java,easy,rq0_0001,rq0_0153,rq0_0001,B,A,rq0_0153,rq0_0153,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0028__rq0_0068,java,medium,rq0_0028,rq0_0068,rq0_0028,A,B,rq0_0028,rq0_0028,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0010__rq0_0301,java,medium,rq0_0010,rq0_0301,rq0_0010,A,B,rq0_0010,rq0_0010,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0023__rq0_0277,java,medium,rq0_0023,rq0_0277,rq0_0277,B,A,rq0_0277,rq0_0277,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0062__rq0_0230,java,hard,rq0_0062,rq0_0230,rq0_0230,B,B,rq0_0230,rq0_0062,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0076__rq0_0207,java,easy,rq0_0076,rq0_0207,rq0_0207,B,B,rq0_0207,rq0_0076,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0077__rq0_0080,java,easy,rq0_0077,rq0_0080,rq0_0080,B,A,rq0_0080,rq0_0080,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0053__rq0_0101,java,hard,rq0_0053,rq0_0101,rq0_0101,B,A,rq0_0101,rq0_0101,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0019__rq0_0114,java,medium,rq0_0019,rq0_0114,rq0_0114,B,A,rq0_0114,rq0_0114,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0064__rq0_0068,java,hard,rq0_0064,rq0_0068,rq0_0064,B,B,rq0_0068,rq0_0064,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0033__rq0_0135,java,medium,rq0_0033,rq0_0135,rq0_0135,A,B,rq0_0033,rq0_0033,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0070__rq0_0220,java,easy,rq0_0070,rq0_0220,rq0_0220,B,A,rq0_0220,rq0_0220,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0100__rq0_0224,java,easy,rq0_0100,rq0_0224,rq0_0224,B,A,rq0_0224,rq0_0224,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0025__rq0_0181,java,easy,rq0_0025,rq0_0181,rq0_0025,A,A,rq0_0025,rq0_0181,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0163__rq0_0223,java,hard,rq0_0163,rq0_0223,rq0_0223,B,A,rq0_0223,rq0_0223,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0155__rq0_0215,java,hard,rq0_0155,rq0_0215,rq0_0215,B,A,rq0_0215,rq0_0215,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0202__rq0_0286,java,hard,rq0_0202,rq0_0286,rq0_0286,B,B,rq0_0286,rq0_0202,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0192__rq0_0269,java,easy,rq0_0192,rq0_0269,rq0_0192,A,B,rq0_0192,rq0_0192,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0006__rq0_0020,java,easy,rq0_0006,rq0_0020,rq0_0006,B,A,rq0_0020,rq0_0020,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0177__rq0_0235,java,hard,rq0_0177,rq0_0235,rq0_0177,A,B,rq0_0177,rq0_0177,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0084__rq0_0123,java,medium,rq0_0084,rq0_0123,rq0_0123,B,A,rq0_0123,rq0_0123,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0025__rq0_0054,java,hard,rq0_0025,rq0_0054,rq0_0025,A,A,rq0_0025,rq0_0054,False,False,False,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0089__rq0_0131,java,easy,rq0_0089,rq0_0131,rq0_0131,B,A,rq0_0131,rq0_0131,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0015__rq0_0116,java,easy,rq0_0015,rq0_0116,rq0_0015,B,A,rq0_0116,rq0_0116,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0036__rq0_0132,java,medium,rq0_0036,rq0_0132,rq0_0132,B,A,rq0_0132,rq0_0132,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0024__rq0_0250,java,easy,rq0_0024,rq0_0250,rq0_0250,B,A,rq0_0250,rq0_0250,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0020__rq0_0186,java,hard,rq0_0020,rq0_0186,rq0_0186,B,A,rq0_0186,rq0_0186,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0059__rq0_0136,java,medium,rq0_0059,rq0_0136,rq0_0059,B,A,rq0_0136,rq0_0136,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0065__rq0_0150,java,hard,rq0_0065,rq0_0150,rq0_0150,A,B,rq0_0065,rq0_0065,False,False,True,False
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0214__rq0_0287,java,easy,rq0_0214,rq0_0287,rq0_0287,B,A,rq0_0287,rq0_0287,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0048__rq0_0072,java,medium,rq0_0048,rq0_0072,rq0_0048,A,B,rq0_0048,rq0_0048,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0022__rq0_0308,java,easy,rq0_0022,rq0_0308,rq0_0022,A,B,rq0_0022,rq0_0022,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0008__rq0_0237,java,easy,rq0_0008,rq0_0237,rq0_0008,A,B,rq0_0008,rq0_0008,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0238__rq0_0265,java,medium,rq0_0238,rq0_0265,rq0_0265,B,A,rq0_0265,rq0_0265,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0105__rq0_0192,java,hard,rq0_0105,rq0_0192,rq0_0192,B,A,rq0_0192,rq0_0192,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0002__rq0_0095,java,hard,rq0_0002,rq0_0095,rq0_0095,B,A,rq0_0095,rq0_0095,False,False,True,True
qwen,Qwen2.5-VL-32B-Instruct,full_rq0_seed42__rq0_0216__rq0_0302,java,easy,rq0_0216,rq0_0302,rq0_0216,B,B,rq0_0302,rq0_0216,False,False,False,False
