manuscript_location,run_label,run_id,condition,pair_set_id,n_pairs_per_model,languages,source_artifact,metric_values_json
Table 2,battery,rq1_model_battery_3lang_20260723/full_20260723,model=google/gemma-3-12b-it,rq1_pairs_9000_seed42,9000.0,pooled,analysis/full/metrics_by_scope.csv,"{""content_ties"": 51, ""debiased_accuracy"": 0.6201111111111111, ""effective_accuracy"": 0.5035555555555555, ""mean_abs_position_margin"": 1.8707222222222224, ""median_abs_content_margin"": 6.125, ""pairs"": 9000}"
Table 2,battery,rq1_model_battery_3lang_20260723/full_20260723,model=mistralai/Ministral-3-8B-Instruct-2512-BF16,rq1_pairs_9000_seed42,9000.0,pooled,analysis/full/metrics_by_scope.csv,"{""content_ties"": 35, ""debiased_accuracy"": 0.543, ""effective_accuracy"": 0.3674444444444444, ""mean_abs_position_margin"": 1.8391354166666667, ""median_abs_content_margin"": 3.203125, ""pairs"": 9000}"
Table 2,battery,rq1_model_battery_3lang_20260723/full_20260723,model=microsoft/Phi-4-multimodal-instruct,rq1_pairs_9000_seed42,9000.0,pooled,analysis/full/metrics_by_scope.csv,"{""content_ties"": 1418, ""debiased_accuracy"": 0.3783333333333333, ""effective_accuracy"": 0.3123333333333333, ""mean_abs_position_margin"": 0.1093333333333333, ""median_abs_content_margin"": 0.25, ""pairs"": 9000}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.549, ""effective_accuracy"": 0.125, ""n_pairs"": 1000, ""n_valid"": 256, ""spearman_valid_only"": 0.0137019075444345, ""strict_swap_error"": 0.744, ""valid_accuracy"": 0.48828125}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.553, ""effective_accuracy"": 0.166, ""n_pairs"": 1000, ""n_valid"": 311, ""spearman_valid_only"": 0.0984737742576019, ""strict_swap_error"": 0.6890000000000001, ""valid_accuracy"": 0.5337620578778135}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.544, ""effective_accuracy"": 0.156, ""n_pairs"": 1000, ""n_valid"": 308, ""spearman_valid_only"": 0.0412775597301806, ""strict_swap_error"": 0.692, ""valid_accuracy"": 0.5064935064935064}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.561, ""effective_accuracy"": 0.187, ""n_pairs"": 1000, ""n_valid"": 322, ""spearman_valid_only"": 0.1585838879122664, ""strict_swap_error"": 0.6779999999999999, ""valid_accuracy"": 0.5807453416149069}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.557, ""effective_accuracy"": 0.15, ""n_pairs"": 1000, ""n_valid"": 290, ""spearman_valid_only"": 0.0824835636158694, ""strict_swap_error"": 0.71, ""valid_accuracy"": 0.5172413793103449}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.546, ""effective_accuracy"": 0.18, ""n_pairs"": 1000, ""n_valid"": 325, ""spearman_valid_only"": 0.1373817031226461, ""strict_swap_error"": 0.675, ""valid_accuracy"": 0.5538461538461539}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.549, ""effective_accuracy"": 0.148, ""n_pairs"": 1000, ""n_valid"": 298, ""spearman_valid_only"": 0.026996636701466, ""strict_swap_error"": 0.702, ""valid_accuracy"": 0.4966442953020134}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.549, ""effective_accuracy"": 0.206, ""n_pairs"": 1000, ""n_valid"": 346, ""spearman_valid_only"": 0.2110942900760261, ""strict_swap_error"": 0.654, ""valid_accuracy"": 0.5953757225433526}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.563, ""effective_accuracy"": 0.154, ""n_pairs"": 1000, ""n_valid"": 305, ""spearman_valid_only"": 0.0312662990450171, ""strict_swap_error"": 0.6950000000000001, ""valid_accuracy"": 0.5049180327868853}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.549, ""effective_accuracy"": 0.163, ""n_pairs"": 1000, ""n_valid"": 306, ""spearman_valid_only"": 0.087359376808735, ""strict_swap_error"": 0.694, ""valid_accuracy"": 0.5326797385620915}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.545, ""effective_accuracy"": 0.148, ""n_pairs"": 1000, ""n_valid"": 297, ""spearman_valid_only"": 0.0225419666859088, ""strict_swap_error"": 0.7030000000000001, ""valid_accuracy"": 0.4983164983164983}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=cuda|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,cuda,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.557, ""effective_accuracy"": 0.167, ""n_pairs"": 1000, ""n_valid"": 312, ""spearman_valid_only"": 0.0702680936427678, ""strict_swap_error"": 0.688, ""valid_accuracy"": 0.5352564102564102}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.523, ""effective_accuracy"": 0.275, ""n_pairs"": 1000, ""n_valid"": 497, ""spearman_valid_only"": 0.143461414604887, ""strict_swap_error"": 0.503, ""valid_accuracy"": 0.5533199195171026}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.475, ""effective_accuracy"": 0.305, ""n_pairs"": 1000, ""n_valid"": 634, ""spearman_valid_only"": -0.0464848535585533, ""strict_swap_error"": 0.366, ""valid_accuracy"": 0.4810725552050473}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.507, ""effective_accuracy"": 0.287, ""n_pairs"": 1000, ""n_valid"": 532, ""spearman_valid_only"": 0.1018423049663951, ""strict_swap_error"": 0.4679999999999999, ""valid_accuracy"": 0.5394736842105263}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.474, ""effective_accuracy"": 0.324, ""n_pairs"": 1000, ""n_valid"": 657, ""spearman_valid_only"": -0.0323155558455131, ""strict_swap_error"": 0.3429999999999999, ""valid_accuracy"": 0.4931506849315068}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.524, ""effective_accuracy"": 0.275, ""n_pairs"": 1000, ""n_valid"": 495, ""spearman_valid_only"": 0.1314531745210944, ""strict_swap_error"": 0.505, ""valid_accuracy"": 0.5555555555555556}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.485, ""effective_accuracy"": 0.341, ""n_pairs"": 1000, ""n_valid"": 678, ""spearman_valid_only"": -0.0065411638922459, ""strict_swap_error"": 0.3219999999999999, ""valid_accuracy"": 0.5029498525073747}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.519, ""effective_accuracy"": 0.295, ""n_pairs"": 1000, ""n_valid"": 513, ""spearman_valid_only"": 0.1757417316999409, ""strict_swap_error"": 0.487, ""valid_accuracy"": 0.5750487329434698}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.489, ""effective_accuracy"": 0.342, ""n_pairs"": 1000, ""n_valid"": 673, ""spearman_valid_only"": 0.008147691414558, ""strict_swap_error"": 0.3269999999999999, ""valid_accuracy"": 0.5081723625557206}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.523, ""effective_accuracy"": 0.278, ""n_pairs"": 1000, ""n_valid"": 512, ""spearman_valid_only"": 0.1178543150514986, ""strict_swap_error"": 0.488, ""valid_accuracy"": 0.54296875}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.474, ""effective_accuracy"": 0.293, ""n_pairs"": 1000, ""n_valid"": 633, ""spearman_valid_only"": -0.0795775459838017, ""strict_swap_error"": 0.367, ""valid_accuracy"": 0.4628751974723539}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=monokai_dark__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.518, ""effective_accuracy"": 0.293, ""n_pairs"": 1000, ""n_valid"": 539, ""spearman_valid_only"": 0.1138853634140132, ""strict_swap_error"": 0.4609999999999999, ""valid_accuracy"": 0.5435992578849722}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=java|condition=monokai_dark__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,java,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.478, ""effective_accuracy"": 0.324, ""n_pairs"": 1000, ""n_valid"": 668, ""spearman_valid_only"": -0.0352369803230844, ""strict_swap_error"": 0.3319999999999999, ""valid_accuracy"": 0.4850299401197604}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=friendly_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.5, ""effective_accuracy"": 0.175, ""n_pairs"": 1000, ""n_valid"": 363, ""spearman_valid_only"": 0.0020013386058588, ""strict_swap_error"": 0.637, ""valid_accuracy"": 0.4820936639118457}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=friendly_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.514, ""effective_accuracy"": 0.21, ""n_pairs"": 1000, ""n_valid"": 413, ""spearman_valid_only"": 0.0506533370094333, ""strict_swap_error"": 0.587, ""valid_accuracy"": 0.5084745762711864}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=friendly_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.509, ""effective_accuracy"": 0.178, ""n_pairs"": 1000, ""n_valid"": 373, ""spearman_valid_only"": 0.0119585820221972, ""strict_swap_error"": 0.627, ""valid_accuracy"": 0.4772117962466488}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=friendly_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.508, ""effective_accuracy"": 0.205, ""n_pairs"": 1000, ""n_valid"": 403, ""spearman_valid_only"": 0.048283501253896, ""strict_swap_error"": 0.597, ""valid_accuracy"": 0.5086848635235732}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=mono_light__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.499, ""effective_accuracy"": 0.173, ""n_pairs"": 1000, ""n_valid"": 370, ""spearman_valid_only"": -0.0222198123409485, ""strict_swap_error"": 0.63, ""valid_accuracy"": 0.4675675675675675}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=mono_light__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.504, ""effective_accuracy"": 0.217, ""n_pairs"": 1000, ""n_valid"": 434, ""spearman_valid_only"": 0.030088478539263, ""strict_swap_error"": 0.5660000000000001, ""valid_accuracy"": 0.5}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=mono_light__fs24__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.507, ""effective_accuracy"": 0.193, ""n_pairs"": 1000, ""n_valid"": 398, ""spearman_valid_only"": -0.0019264295453128, ""strict_swap_error"": 0.602, ""valid_accuracy"": 0.4849246231155779}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=mono_light__fs24__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.527, ""effective_accuracy"": 0.218, ""n_pairs"": 1000, ""n_valid"": 407, ""spearman_valid_only"": 0.1138466690045967, ""strict_swap_error"": 0.593, ""valid_accuracy"": 0.5356265356265356}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=monokai_dark__fs20__wrap60__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.493, ""effective_accuracy"": 0.169, ""n_pairs"": 1000, ""n_valid"": 384, ""spearman_valid_only"": -0.1131548701869843, ""strict_swap_error"": 0.616, ""valid_accuracy"": 0.4401041666666667}"
Table 3; Fig. 3,grid,grounded_protocol_3lang_20260721/grid/full_20260721,model=OpenGVLab/InternVL3-8B|language=python|condition=monokai_dark__fs20__wrap80__lnon,pairs_seed42_grounded,1000.0,python,analysis/ab/A_GRID_RESULTS.csv,"{""debiased_accuracy"": 0.494, ""effective_accuracy"": 0.211, ""n_pairs"": 1000, ""n_valid"": 457, ""spearman_valid_only"": -0.065022094192439, ""strict_swap_error"": 0.5429999999999999, ""valid_accuracy"": 0.4617067833698031}"
