model_key,model,concurrency_group,pair_id,language,difficulty,abs_z_diff,human_delta,valid,correct,model_sign,ab_correct,ba_correct,margin_ab,margin_ba,content_margin,position_margin,debiased_correct,content_tie,ab_first_choice,ba_first_choice,snippet_i,snippet_j,snippet_i_key,snippet_j_key,abs_c,abs_b,decile
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0034,java,easy,1.7144419714076573,-1.7144419714076573,True,True,-1.0,True,True,-2.125,0.75,-1.4375,-0.6875,True,False,False,True,rq0_0005,rq0_0160,java::rq0_0005,java::rq0_0160,1.4375,0.6875,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0035,java,easy,2.2848548605734766,-2.2848548605734766,False,False,,True,False,-2.875,-0.875,-1.0,-1.875,True,False,False,False,rq0_0005,rq0_0204,java::rq0_0005,java::rq0_0204,1.0,1.875,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0036,java,easy,2.2848548605734766,-2.2848548605734766,False,False,,True,False,-2.875,-1.0,-0.9375,-1.9375,True,False,False,False,rq0_0005,rq0_0216,java::rq0_0005,java::rq0_0216,0.9375,1.9375,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0037,java,easy,3.3738971127761266,-3.3738971127761266,True,True,-1.0,True,True,-3.0,0.375,-1.6875,-1.3125,True,False,False,True,rq0_0005,rq0_0246,java::rq0_0005,java::rq0_0246,1.6875,1.3125,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0038,java,easy,1.7403337344721517,-1.7403337344721517,False,False,,True,False,-2.625,-1.0,-0.8125,-1.8125,True,False,False,False,rq0_0005,rq0_0300,java::rq0_0005,java::rq0_0300,0.8125,1.8125,6
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0039,java,easy,1.4221702203900275,1.4221702203900275,False,False,,False,True,-1.5,-0.875,-0.3125,-1.1875,False,False,False,False,rq0_0006,rq0_0020,java::rq0_0006,java::rq0_0020,0.3125,1.1875,3
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0040,java,easy,1.9225634460828145,1.9225634460828145,False,False,,False,True,-0.75,-2.125,0.6875,-1.4375,True,False,False,False,rq0_0006,rq0_0039,java::rq0_0006,java::rq0_0039,0.6875,1.4375,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0041,java,easy,1.435338463171417,1.435338463171417,False,False,,False,True,-1.125,-2.375,0.625,-1.75,True,False,False,False,rq0_0006,rq0_0075,java::rq0_0006,java::rq0_0075,0.625,1.75,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0042,java,easy,1.2898873244431477,-1.2898873244431477,False,False,,True,False,-1.25,-1.375,0.0625,-1.3125,False,False,False,False,rq0_0006,rq0_0120,java::rq0_0006,java::rq0_0120,0.0625,1.3125,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0043,java,easy,2.054245873896706,-2.054245873896706,True,True,-1.0,True,True,-1.5,0.75,-1.125,-0.375,True,False,False,True,rq0_0007,rq0_0078,java::rq0_0007,java::rq0_0078,1.125,0.375,8
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0044,java,easy,1.7627483213822812,-1.7627483213822812,True,True,-1.0,True,True,-1.5,0.875,-1.1875,-0.3125,True,False,False,True,rq0_0007,rq0_0227,java::rq0_0007,java::rq0_0227,1.1875,0.3125,8
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0045,java,easy,1.036720153247182,-1.036720153247182,False,False,,True,False,-1.375,-0.625,-0.375,-1.0,True,False,False,False,rq0_0007,rq0_0255,java::rq0_0007,java::rq0_0255,0.375,1.0,3
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0046,java,easy,2.014741145552538,2.014741145552538,False,False,,False,True,-0.25,-0.625,0.1875,-0.4375,True,False,False,False,rq0_0008,rq0_0026,java::rq0_0008,java::rq0_0026,0.1875,0.4375,2
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0047,java,easy,2.4756296429011577,2.4756296429011577,True,True,1.0,True,True,0.0,-0.25,0.125,-0.125,True,False,True,False,rq0_0008,rq0_0035,java::rq0_0008,java::rq0_0035,0.125,0.125,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0048,java,easy,2.357115457868656,2.357115457868656,True,False,-1.0,False,False,-0.375,0.125,-0.25,-0.125,False,False,False,True,rq0_0008,rq0_0061,java::rq0_0008,java::rq0_0061,0.25,0.125,2
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0049,java,easy,1.593424387689259,1.593424387689259,True,True,1.0,True,True,0.125,-0.5,0.3125,-0.1875,True,False,True,False,rq0_0008,rq0_0100,java::rq0_0008,java::rq0_0100,0.3125,0.1875,3
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0050,java,easy,1.895723832672684,1.895723832672684,True,False,-1.0,False,False,-0.25,0.625,-0.4375,0.1875,False,False,False,True,rq0_0008,rq0_0139,java::rq0_0008,java::rq0_0139,0.4375,0.1875,4
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0051,java,easy,1.5357103611880696,1.5357103611880696,True,True,1.0,True,True,0.5,-0.625,0.5625,-0.0625,True,False,True,False,rq0_0008,rq0_0237,java::rq0_0008,java::rq0_0237,0.5625,0.0625,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0052,java,easy,2.6247526133907195,2.6247526133907195,True,True,1.0,True,True,0.5,-0.375,0.4375,0.0625,True,False,True,False,rq0_0008,rq0_0278,java::rq0_0008,java::rq0_0278,0.4375,0.0625,4
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0053,java,easy,2.987766697458269,2.987766697458269,True,False,-1.0,False,False,-0.25,0.375,-0.3125,0.0625,False,False,False,True,rq0_0008,rq0_0295,java::rq0_0008,java::rq0_0295,0.3125,0.0625,3
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0054,java,easy,1.0402911797297418,-1.0402911797297418,True,True,-1.0,True,True,-0.125,0.0,-0.0625,-0.0625,True,False,False,True,rq0_0009,rq0_0080,java::rq0_0009,java::rq0_0080,0.0625,0.0625,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0055,java,easy,1.7376075790103782,-1.7376075790103782,True,False,1.0,False,False,0.75,-1.5,1.125,-0.375,False,False,True,False,rq0_0009,rq0_0120,java::rq0_0009,java::rq0_0120,1.125,0.375,8
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0056,java,easy,1.4499257672197956,1.4499257672197956,True,True,1.0,True,True,2.25,-1.625,1.9375,0.3125,True,False,True,False,rq0_0009,rq0_0151,java::rq0_0009,java::rq0_0151,1.9375,0.3125,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0057,java,easy,1.3488360813478713,-1.3488360813478713,True,False,1.0,False,False,0.375,-1.625,1.0,-0.625,False,False,True,False,rq0_0009,rq0_0248,java::rq0_0009,java::rq0_0248,1.0,0.625,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0058,java,easy,1.3033051631874364,1.3033051631874364,True,True,1.0,True,True,0.5,-1.875,1.1875,-0.6875,True,False,True,False,rq0_0010,rq0_0198,java::rq0_0010,java::rq0_0198,1.1875,0.6875,8
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0059,java,easy,2.7553614994576363,2.7553614994576363,True,True,1.0,True,True,0.375,-1.75,1.0625,-0.6875,True,False,True,False,rq0_0010,rq0_0211,java::rq0_0010,java::rq0_0211,1.0625,0.6875,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0060,java,easy,2.392347415390085,2.392347415390085,True,True,1.0,True,True,1.625,-2.375,2.0,-0.375,True,False,True,False,rq0_0010,rq0_0217,java::rq0_0010,java::rq0_0217,2.0,0.375,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0061,java,easy,1.3033051631874364,1.3033051631874364,True,True,1.0,True,True,0.625,-2.25,1.4375,-0.8125,True,False,True,False,rq0_0010,rq0_0247,java::rq0_0010,java::rq0_0247,1.4375,0.8125,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0062,java,easy,1.0562863832516385,-1.0562863832516385,True,True,-1.0,True,True,-0.125,0.125,-0.125,0.0,True,False,False,True,rq0_0010,rq0_0266,java::rq0_0010,java::rq0_0266,0.125,0.0,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0063,java,easy,1.4848122052212114,1.4848122052212114,False,False,,False,True,-0.25,-2.125,0.9375,-1.1875,True,False,False,False,rq0_0010,rq0_0298,java::rq0_0010,java::rq0_0298,0.9375,1.1875,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0064,java,easy,1.0007864513855749,-1.0007864513855749,False,False,,True,False,-0.125,-0.25,0.0625,-0.1875,False,False,False,False,rq0_0011,rq0_0048,java::rq0_0011,java::rq0_0048,0.0625,0.1875,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0065,java,easy,1.3136250490631527,1.3136250490631527,True,True,1.0,True,True,1.25,-3.0,2.125,-0.875,True,False,True,False,rq0_0011,rq0_0196,java::rq0_0011,java::rq0_0196,2.125,0.875,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0066,java,easy,1.4951320910969277,1.4951320910969277,True,True,1.0,True,True,1.375,-2.875,2.125,-0.75,True,False,True,False,rq0_0011,rq0_0261,java::rq0_0011,java::rq0_0261,2.125,0.75,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0067,java,easy,1.676639133130703,1.676639133130703,True,True,1.0,True,True,1.875,-2.5,2.1875,-0.3125,True,False,True,False,rq0_0011,rq0_0286,java::rq0_0011,java::rq0_0286,2.1875,0.3125,10
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0068,java,easy,2.7916674696544987,2.7916674696544987,False,False,,False,True,-0.25,-0.375,0.0625,-0.3125,True,False,False,False,rq0_0012,rq0_0076,java::rq0_0012,java::rq0_0076,0.0625,0.3125,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0069,java,easy,1.832510652051475,1.832510652051475,True,False,-1.0,False,False,-0.75,0.375,-0.5625,-0.1875,False,False,False,True,rq0_0012,rq0_0130,java::rq0_0012,java::rq0_0130,0.5625,0.1875,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0070,java,easy,2.8773811535026725,2.8773811535026725,True,True,1.0,True,True,0.75,-0.375,0.5625,0.1875,True,False,True,False,rq0_0012,rq0_0149,java::rq0_0012,java::rq0_0149,0.5625,0.1875,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0071,java,easy,2.3115631435430544,2.3115631435430544,True,True,1.0,True,True,0.0,-1.125,0.5625,-0.5625,True,False,True,False,rq0_0012,rq0_0195,java::rq0_0012,java::rq0_0195,0.5625,0.5625,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0072,java,easy,2.6745772276106043,2.6745772276106043,False,False,,False,True,-0.5,-0.375,-0.0625,-0.4375,False,False,False,False,rq0_0012,rq0_0231,java::rq0_0012,java::rq0_0231,0.0625,0.4375,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0073,java,easy,1.7670420174417305,1.7670420174417305,True,True,1.0,True,True,0.0,-1.625,0.8125,-0.8125,True,False,True,False,rq0_0012,rq0_0241,java::rq0_0012,java::rq0_0241,0.8125,0.8125,6
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0074,java,easy,1.7670420174417305,1.7670420174417305,True,True,1.0,True,True,0.625,-2.375,1.5,-0.875,True,False,True,False,rq0_0012,rq0_0260,java::rq0_0012,java::rq0_0260,1.5,0.875,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0075,java,easy,1.646030347673642,-1.646030347673642,False,False,,True,False,-1.5,-0.625,-0.4375,-1.0625,True,False,False,False,rq0_0013,rq0_0026,java::rq0_0013,java::rq0_0026,0.4375,1.0625,4
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0076,java,easy,2.317610729524489,-2.317610729524489,False,False,,True,False,-0.5,-0.625,0.0625,-0.5625,False,False,False,False,rq0_0013,rq0_0041,java::rq0_0013,java::rq0_0041,0.0625,0.5625,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0077,java,easy,2.8180039552172755,-2.8180039552172755,False,False,,True,False,-1.375,-0.375,-0.5,-0.875,True,False,False,False,rq0_0013,rq0_0052,java::rq0_0013,java::rq0_0052,0.5,0.875,4
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0078,java,easy,1.7175785069127514,-1.7175785069127514,True,True,-1.0,True,True,-1.5,0.0,-0.75,-0.75,True,False,False,True,rq0_0013,rq0_0101,java::rq0_0013,java::rq0_0101,0.75,0.75,6
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0079,java,easy,3.66133028005574,-3.66133028005574,True,True,-1.0,True,True,-1.625,1.375,-1.5,-0.125,True,False,False,True,rq0_0013,rq0_0147,java::rq0_0013,java::rq0_0147,1.5,0.125,9
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0080,java,easy,2.305963666441241,-2.305963666441241,False,False,,True,False,-1.0,-1.5,0.25,-1.25,False,False,False,False,rq0_0013,rq0_0169,java::rq0_0013,java::rq0_0169,0.25,1.25,2
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0081,java,easy,2.6347007001314773,-2.6347007001314773,False,False,,True,False,-0.875,-0.875,0.0,-0.875,False,True,False,False,rq0_0013,rq0_0176,java::rq0_0013,java::rq0_0176,0.0,0.875,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0082,java,easy,2.8510893001732094,-2.8510893001732094,False,False,,True,False,-1.5,-1.875,0.1875,-1.6875,False,False,False,False,rq0_0013,rq0_0216,java::rq0_0013,java::rq0_0216,0.1875,1.6875,2
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0083,java,easy,3.94013155237586,-3.94013155237586,False,False,,True,False,-2.0,-0.125,-0.9375,-1.0625,True,False,False,False,rq0_0013,rq0_0246,java::rq0_0013,java::rq0_0246,0.9375,1.0625,7
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0084,java,easy,3.758624510342083,-3.758624510342083,False,False,,True,False,-0.875,-2.25,0.6875,-1.5625,False,False,False,False,rq0_0013,rq0_0288,java::rq0_0013,java::rq0_0288,0.6875,1.5625,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0085,java,easy,1.39903296390301,-1.39903296390301,False,False,,True,False,-0.875,-1.0,0.0625,-0.9375,False,False,False,False,rq0_0013,rq0_0308,java::rq0_0013,java::rq0_0308,0.0625,0.9375,1
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0086,java,easy,1.6460303476736415,-1.6460303476736415,True,True,-1.0,True,True,-1.125,0.0,-0.5625,-0.5625,True,False,False,True,rq0_0014,rq0_0046,java::rq0_0014,java::rq0_0046,0.5625,0.5625,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0087,java,easy,1.619693862110862,-1.619693862110862,True,True,-1.0,True,True,-0.75,0.375,-0.5625,-0.1875,True,False,False,True,rq0_0014,rq0_0049,java::rq0_0014,java::rq0_0049,0.5625,0.1875,5
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0088,java,easy,1.3958337348272494,-1.3958337348272494,True,False,1.0,False,False,0.0,-0.75,0.375,-0.375,False,False,True,False,rq0_0014,rq0_0059,java::rq0_0014,java::rq0_0059,0.375,0.375,3
qwen,Qwen/Qwen2.5-VL-7B-Instruct,pair1_qwen_internvl,rq1_0089,java,easy,1.98840465998976,-1.98840465998976,True,True,-1.0,True,True,-1.375,0.125,-0.75,-0.625,True,False,False,True,rq0_0014,rq0_0078,java::rq0_0014,java::rq0_0078,0.75,0.625,6
