model,model_revision,language,base_id,rq0_id,score_stratum,contrast_type,variant_i,variant_j,preference_target_variant,contrast_id,ab_choice,ba_choice,strict_valid,target_selected,parse_failure,margin_ab,margin_ba,content_signal_c,position_bias_b,target_content_signal,debiased_target_selected,debiased_tie
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_003,dorn_cuda_016,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_003__c2,beautiful_trash,golden,False,False,False,-1.0,-3.875,1.4375,-2.4375,1.4375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_003,dorn_cuda_016,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_003__c3,ugly_trash,golden,False,False,False,-0.875,-4.0,1.5625,-2.4375,1.5625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_003,dorn_cuda_016,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_003__c4,beautiful_trash,ugly_gold,False,False,False,-2.375,-3.375,0.5,-2.875,0.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_003,dorn_cuda_016,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_003__c5,ugly_trash,ugly_gold,False,False,False,-1.625,-3.75,1.0625,-2.6875,1.0625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_003,dorn_cuda_016,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_003__c6,ugly_trash,beautiful_trash,False,False,False,-0.375,-2.125,0.875,-1.25,0.875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_004,dorn_cuda_050,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_004__c1,ugly_gold,golden,False,False,False,-1.875,-2.125,0.125,-2.0,0.125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_004,dorn_cuda_050,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_004__c2,golden,golden,True,True,False,2.0,-4.0,3.0,-1.0,3.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_004,dorn_cuda_050,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_004__c3,golden,golden,True,True,False,1.875,-4.375,3.125,-1.25,3.125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_004,dorn_cuda_050,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_004__c4,ugly_gold,ugly_gold,True,True,False,1.375,-3.625,2.5,-1.125,2.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_004,dorn_cuda_050,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_004__c5,ugly_gold,ugly_gold,True,True,False,2.0,-4.375,3.1875,-1.1875,3.1875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_004,dorn_cuda_050,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_004__c6,ugly_trash,beautiful_trash,False,False,False,-0.375,-1.125,0.375,-0.75,0.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_005,dorn_cuda_025,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_005__c1,ugly_gold,golden,False,False,False,-0.25,-1.5,0.625,-0.875,0.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_005,dorn_cuda_025,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_005__c2,golden,golden,True,True,False,2.375,-5.125,3.75,-1.375,3.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_005,dorn_cuda_025,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_005__c3,golden,golden,True,True,False,3.0,-4.25,3.625,-0.625,3.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_005,dorn_cuda_025,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_005__c4,ugly_gold,ugly_gold,True,True,False,2.125,-4.375,3.25,-1.125,3.25,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_005,dorn_cuda_025,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_005__c5,ugly_gold,ugly_gold,True,True,False,2.5,-4.0,3.25,-0.75,3.25,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_005,dorn_cuda_025,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_005__c6,ugly_trash,beautiful_trash,False,False,False,-1.0,-1.375,0.1875,-1.1875,0.1875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_006,dorn_cuda_093,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_006__c1,ugly_gold,golden,False,False,False,-1.5,-2.25,0.375,-1.875,0.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_006,dorn_cuda_093,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_006__c2,golden,golden,True,True,False,1.375,-3.875,2.625,-1.25,2.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_006,dorn_cuda_093,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_006__c3,golden,golden,True,True,False,1.375,-3.625,2.5,-1.125,2.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_006,dorn_cuda_093,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_006__c4,ugly_gold,ugly_gold,True,True,False,0.625,-4.125,2.375,-1.75,2.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_006,dorn_cuda_093,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_006__c5,ugly_gold,ugly_gold,True,True,False,1.0,-4.375,2.6875,-1.6875,2.6875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_006,dorn_cuda_093,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_006__c6,beautiful_trash,beautiful_trash,True,True,False,0.0,-1.25,0.625,-0.625,0.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_007,dorn_cuda_084,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_007__c1,ugly_gold,golden,False,False,False,-1.0,-2.875,0.9375,-1.9375,0.9375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_007,dorn_cuda_084,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_007__c2,golden,golden,True,True,False,0.375,-3.625,2.0,-1.625,2.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_007,dorn_cuda_084,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_007__c3,golden,golden,True,True,False,0.625,-3.25,1.9375,-1.3125,1.9375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_007,dorn_cuda_084,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_007__c4,ugly_gold,ugly_gold,True,True,False,0.25,-2.75,1.5,-1.25,1.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_007,dorn_cuda_084,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_007__c5,ugly_gold,ugly_gold,True,True,False,0.125,-2.25,1.1875,-1.0625,1.1875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_007,dorn_cuda_084,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_007__c6,ugly_trash,beautiful_trash,False,False,False,-1.25,-1.5,0.125,-1.375,0.125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_008,dorn_cuda_092,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_008__c1,ugly_gold,golden,False,False,False,-1.25,-1.875,0.3125,-1.5625,0.3125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_008,dorn_cuda_092,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_008__c2,beautiful_trash,golden,False,False,False,-0.125,-3.375,1.625,-1.75,1.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_008,dorn_cuda_092,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_008__c3,ugly_trash,golden,False,False,False,-0.375,-3.125,1.375,-1.75,1.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_008,dorn_cuda_092,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_008__c4,beautiful_trash,ugly_gold,False,False,False,-0.625,-2.625,1.0,-1.625,1.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_008,dorn_cuda_092,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_008__c5,ugly_trash,ugly_gold,False,False,False,-0.75,-3.0,1.125,-1.875,1.125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_008,dorn_cuda_092,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_008__c6,ugly_trash,beautiful_trash,False,False,False,-1.25,-2.0,0.375,-1.625,0.375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_009,dorn_cuda_047,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_009__c1,ugly_gold,golden,False,False,False,-0.5,-1.0,0.25,-0.75,0.25,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_009,dorn_cuda_047,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_009__c2,golden,golden,True,True,False,4.0,-3.5,3.75,0.25,3.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_009,dorn_cuda_047,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_009__c3,golden,golden,True,True,False,4.125,-3.5,3.8125,0.3125,3.8125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_009,dorn_cuda_047,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_009__c4,ugly_gold,ugly_gold,True,True,False,4.0,-3.75,3.875,0.125,3.875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_009,dorn_cuda_047,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_009__c5,ugly_gold,ugly_gold,True,True,False,4.375,-3.25,3.8125,0.5625,3.8125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_009,dorn_cuda_047,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_009__c6,ugly_trash,beautiful_trash,False,False,False,-0.625,-2.0,0.6875,-1.3125,0.6875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_010,dorn_cuda_114,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_010__c1,ugly_gold,golden,False,False,False,-1.0,-3.0,1.0,-2.0,1.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_010,dorn_cuda_114,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_010__c2,golden,golden,True,True,False,2.375,-3.5,2.9375,-0.5625,2.9375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_010,dorn_cuda_114,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_010__c3,golden,golden,True,True,False,2.75,-3.75,3.25,-0.5,3.25,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_010,dorn_cuda_114,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_010__c4,ugly_gold,ugly_gold,True,True,False,0.75,-3.5,2.125,-1.375,2.125,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_010,dorn_cuda_114,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_010__c5,ugly_gold,ugly_gold,True,True,False,1.75,-3.75,2.75,-1.0,2.75,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_010,dorn_cuda_114,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_010__c6,ugly_trash,beautiful_trash,False,False,False,-0.375,-2.375,1.0,-1.375,1.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_011,dorn_cuda_098,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_011__c1,ugly_gold,golden,False,False,False,-1.375,-2.375,0.5,-1.875,0.5,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_011,dorn_cuda_098,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_011__c2,beautiful_trash,golden,False,False,False,-0.75,-3.25,1.25,-2.0,1.25,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_011,dorn_cuda_098,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_011__c3,ugly_trash,golden,False,False,False,-0.125,-3.0,1.4375,-1.5625,1.4375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_011,dorn_cuda_098,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_011__c4,beautiful_trash,ugly_gold,False,False,False,-1.125,-3.0,0.9375,-2.0625,0.9375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_011,dorn_cuda_098,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_011__c5,ugly_trash,ugly_gold,False,False,False,-0.875,-2.875,1.0,-1.875,1.0,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_011,dorn_cuda_098,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_011__c6,ugly_trash,beautiful_trash,False,False,False,-0.875,-2.125,0.625,-1.5,0.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_012,dorn_cuda_115,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_012__c1,ugly_gold,golden,False,False,False,-0.125,-1.375,0.625,-0.75,0.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_012,dorn_cuda_115,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_012__c2,golden,golden,True,True,False,2.5,-4.0,3.25,-0.75,3.25,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_012,dorn_cuda_115,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_012__c3,golden,golden,True,True,False,2.375,-3.75,3.0625,-0.6875,3.0625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_012,dorn_cuda_115,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_012__c4,ugly_gold,ugly_gold,True,True,False,2.125,-4.0,3.0625,-0.9375,3.0625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_012,dorn_cuda_115,low,semantic_only_under_ugly,ugly_gold,ugly_trash,ugly_gold,rq3g_cuda_012__c5,ugly_gold,ugly_gold,True,True,False,2.25,-3.5,2.875,-0.625,2.875,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_012,dorn_cuda_115,low,visual_only_trash,beautiful_trash,ugly_trash,beautiful_trash,rq3g_cuda_012__c6,ugly_trash,beautiful_trash,False,False,False,-0.875,-0.5,-0.1875,-0.6875,-0.1875,False,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_013,dorn_cuda_055,low,visual_only_gold,golden,ugly_gold,golden,rq3g_cuda_013__c1,ugly_gold,golden,False,False,False,-0.75,-2.0,0.625,-1.375,0.625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_013,dorn_cuda_055,low,semantic_and_visual_aligned,golden,beautiful_trash,golden,rq3g_cuda_013__c2,beautiful_trash,golden,False,False,False,-1.0,-3.875,1.4375,-2.4375,1.4375,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_013,dorn_cuda_055,low,semantic_and_visual_aligned,golden,ugly_trash,golden,rq3g_cuda_013__c3,ugly_trash,golden,False,False,False,-0.875,-4.0,1.5625,-2.4375,1.5625,True,False
Qwen/Qwen2.5-VL-7B-Instruct,cc594898137f460bfe9f0759e9844b3ce807cfb5,cuda,rq3g_cuda_013,dorn_cuda_055,low,semantic_visual_conflict_primary,ugly_gold,beautiful_trash,ugly_gold,rq3g_cuda_013__c4,beautiful_trash,ugly_gold,False,False,False,-1.125,-3.875,1.375,-2.5,1.375,True,False
