family,model,case,pairs,source_file,hard_swap_error,medium_swap_error,easy_swap_error,easy_minus_hard,expected_monotonic_hard_gt_medium_gt_easy
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot256,90,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_low__mot_256_raw.jsonl,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.2,False
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot256,90,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_low__mot_256_raw.jsonl,0.26666666666666666,0.26666666666666666,0.23333333333333334,-0.033333333333333326,False
gpt54_reasoning_budget,gpt-5.4-2026-03-05,image_only__reasoning_low__mot4096,300,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_low__mot_4096_raw.jsonl,0.17,0.1,0.17,0.0,False
gpt54_reasoning_budget,gpt-5.4-2026-03-05,text_plus_image__reasoning_low__mot4096,300,results/gpt54_reasoning_budget_pilot_90_20260709/gpt-5.4-2026-03-05__reasoning_low__mot_4096_raw.jsonl,0.24,0.3,0.27,0.030000000000000027,False
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt256,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__combined_labeled_image_only__promptB__seed42__mnt256.jsonl,0.63,0.63,0.5,-0.13,False
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_image_only__mnt64,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__combined_labeled_image_only__promptB__seed42__mnt64.jsonl,0.63,0.63,0.5,-0.13,False
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt256,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__combined_labeled_text_plus_image__promptB__seed42__mnt256.jsonl,0.33,0.32,0.31,-0.020000000000000018,True
max_token_300,OpenGVLab/InternVL3-8B,combined_labeled_text_plus_image__mnt64,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__combined_labeled_text_plus_image__promptB__seed42__mnt64.jsonl,0.33,0.32,0.31,-0.020000000000000018,True
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt256,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__image_only__promptB__seed42__mnt256.jsonl,0.53,0.58,0.54,0.010000000000000009,False
max_token_300,OpenGVLab/InternVL3-8B,image_only__mnt64,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__image_only__promptB__seed42__mnt64.jsonl,0.53,0.58,0.54,0.010000000000000009,False
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt256,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__text_plus_image__promptB__seed42__mnt256.jsonl,0.36,0.29,0.22,-0.13999999999999999,True
max_token_300,OpenGVLab/InternVL3-8B,text_plus_image__mnt64,300,results/max_token_pilot_20260709/OpenGVLab__InternVL3-8B__text_plus_image__promptB__seed42__mnt64.jsonl,0.36,0.29,0.22,-0.13999999999999999,True
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt256,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_image_only__promptB__seed42__mnt256.jsonl,0.6,0.52,0.39,-0.20999999999999996,True
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_image_only__mnt64,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_image_only__promptB__seed42__mnt64.jsonl,0.6,0.52,0.39,-0.20999999999999996,True
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt256,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_text_plus_image__promptB__seed42__mnt256.jsonl,0.38,0.3,0.18,-0.2,True
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,combined_labeled_text_plus_image__mnt64,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__combined_labeled_text_plus_image__promptB__seed42__mnt64.jsonl,0.38,0.3,0.18,-0.2,True
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt256,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__image_only__promptB__seed42__mnt256.jsonl,0.41,0.34,0.31,-0.09999999999999998,True
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,image_only__mnt64,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__image_only__promptB__seed42__mnt64.jsonl,0.41,0.34,0.31,-0.09999999999999998,True
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt256,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__text_plus_image__promptB__seed42__mnt256.jsonl,0.25,0.26,0.2,-0.04999999999999999,False
max_token_300,Qwen/Qwen2.5-VL-7B-Instruct,text_plus_image__mnt64,300,results/max_token_pilot_20260709/Qwen__Qwen2.5-VL-7B-Instruct__text_plus_image__promptB__seed42__mnt64.jsonl,0.25,0.26,0.2,-0.04999999999999999,False
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,source_text,3000,results/screenshot_only_ocr_clean_20260707/ocr_text_llm_raw/source_text_llm.jsonl,0.378,0.421,0.405,0.027000000000000024,False
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr,3000,results/screenshot_only_ocr_clean_20260707/ocr_text_llm_raw/ocr_text_llm_easyocr.jsonl,0.597,0.624,0.64,0.04300000000000004,False
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_rapidocr,3000,results/screenshot_only_ocr_clean_20260707/ocr_text_llm_raw/ocr_text_llm_rapidocr.jsonl,0.477,0.499,0.494,0.017000000000000015,False
ocr_text_llm_full3000,Qwen2.5-Coder-7B-Instruct,ocr_easyocr_preprocessed,3000,results/screenshot_only_ocr_clean_20260707/ocr_text_llm_raw/ocr_text_llm_easyocr_preprocessed.jsonl,0.595,0.637,0.661,0.06600000000000006,False
protocol_sanity_300,Qwen2.5-VL-7B,forced_single_char_source,300,experiments/rq0_viability/outputs/strong_vlm_sanity/qwen7b_forced_source_raw.jsonl,0.47,0.39,0.44,-0.02999999999999997,False
protocol_sanity_300,Qwen2.5-VL-32B,single_char_source,300,experiments/rq0_viability/outputs/strong_vlm_sanity/qwen32b_parse_fixed_source_raw.jsonl,0.39,0.38,0.33,-0.06,True
