model_key,model,pair_id,language,difficulty,snippet_i,snippet_j,abs_b,abs_c,valid,correct,content_tie,boundary_abs_c_eq_abs_b,identity_predicted_valid,identity_violation_nonboundary,identity_mismatch_conservative_boundary_included
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0054,java,easy,rq0_0009,rq0_0080,0.0625,0.0625,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0055,java,easy,rq0_0009,rq0_0120,0.375,1.125,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0056,java,easy,rq0_0009,rq0_0151,0.3125,1.9375,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0057,java,easy,rq0_0009,rq0_0248,0.625,1.0,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0058,java,easy,rq0_0010,rq0_0198,0.6875,1.1875,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0059,java,easy,rq0_0010,rq0_0211,0.6875,1.0625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0060,java,easy,rq0_0010,rq0_0217,0.375,2.0,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0061,java,easy,rq0_0010,rq0_0247,0.8125,1.4375,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0062,java,easy,rq0_0010,rq0_0266,0.0,0.125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0063,java,easy,rq0_0010,rq0_0298,1.1875,0.9375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0064,java,easy,rq0_0011,rq0_0048,0.1875,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0065,java,easy,rq0_0011,rq0_0196,0.875,2.125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0066,java,easy,rq0_0011,rq0_0261,0.75,2.125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0067,java,easy,rq0_0011,rq0_0286,0.3125,2.1875,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0068,java,easy,rq0_0012,rq0_0076,0.3125,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0069,java,easy,rq0_0012,rq0_0130,0.1875,0.5625,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0070,java,easy,rq0_0012,rq0_0149,0.1875,0.5625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0071,java,easy,rq0_0012,rq0_0195,0.5625,0.5625,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0072,java,easy,rq0_0012,rq0_0231,0.4375,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0073,java,easy,rq0_0012,rq0_0241,0.8125,0.8125,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0074,java,easy,rq0_0012,rq0_0260,0.875,1.5,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0075,java,easy,rq0_0013,rq0_0026,1.0625,0.4375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0076,java,easy,rq0_0013,rq0_0041,0.5625,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0077,java,easy,rq0_0013,rq0_0052,0.875,0.5,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0078,java,easy,rq0_0013,rq0_0101,0.75,0.75,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0079,java,easy,rq0_0013,rq0_0147,0.125,1.5,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0080,java,easy,rq0_0013,rq0_0169,1.25,0.25,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0081,java,easy,rq0_0013,rq0_0176,0.875,0.0,False,False,True,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0082,java,easy,rq0_0013,rq0_0216,1.6875,0.1875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0083,java,easy,rq0_0013,rq0_0246,1.0625,0.9375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0084,java,easy,rq0_0013,rq0_0288,1.5625,0.6875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0085,java,easy,rq0_0013,rq0_0308,0.9375,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0086,java,easy,rq0_0014,rq0_0046,0.5625,0.5625,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0087,java,easy,rq0_0014,rq0_0049,0.1875,0.5625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0088,java,easy,rq0_0014,rq0_0059,0.375,0.375,True,False,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0089,java,easy,rq0_0014,rq0_0078,0.625,0.75,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0090,java,easy,rq0_0014,rq0_0094,0.4375,0.5625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0091,java,easy,rq0_0014,rq0_0114,0.6875,0.6875,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0092,java,easy,rq0_0014,rq0_0124,0.625,0.5,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0093,java,easy,rq0_0014,rq0_0149,0.125,0.0,False,False,True,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0094,java,easy,rq0_0014,rq0_0215,1.0625,0.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0095,java,easy,rq0_0014,rq0_0221,0.125,0.625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0096,java,easy,rq0_0014,rq0_0248,1.0625,0.4375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0097,java,easy,rq0_0015,rq0_0056,0.5625,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0098,java,easy,rq0_0015,rq0_0084,0.5,0.5,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0099,java,easy,rq0_0015,rq0_0116,0.3125,1.1875,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0100,java,easy,rq0_0015,rq0_0181,0.375,0.875,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0101,java,easy,rq0_0015,rq0_0274,1.1875,0.4375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0102,java,easy,rq0_0015,rq0_0283,1.0625,0.5625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0103,java,easy,rq0_0015,rq0_0291,0.75,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0104,java,easy,rq0_0016,rq0_0029,0.0625,0.4375,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0105,java,easy,rq0_0016,rq0_0107,0.4375,0.4375,True,False,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0106,java,easy,rq0_0016,rq0_0169,0.875,0.25,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0107,java,easy,rq0_0016,rq0_0173,0.0625,0.8125,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0108,java,easy,rq0_0016,rq0_0222,0.3125,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0109,java,easy,rq0_0016,rq0_0238,0.0625,1.6875,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0110,java,easy,rq0_0016,rq0_0258,0.8125,1.3125,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0111,java,easy,rq0_0016,rq0_0297,0.1875,0.1875,True,False,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0112,java,easy,rq0_0017,rq0_0053,0.625,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0113,java,easy,rq0_0017,rq0_0064,0.4375,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0114,java,easy,rq0_0017,rq0_0251,0.625,0.625,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0115,java,easy,rq0_0018,rq0_0027,0.5,0.75,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0116,java,easy,rq0_0018,rq0_0056,0.5625,0.6875,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0117,java,easy,rq0_0018,rq0_0111,0.25,1.0,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0118,java,easy,rq0_0018,rq0_0114,0.3125,1.4375,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0119,java,easy,rq0_0018,rq0_0202,1.4375,0.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0120,java,easy,rq0_0018,rq0_0225,1.75,0.0,False,False,True,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0121,java,easy,rq0_0019,rq0_0276,0.9375,0.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0122,java,easy,rq0_0020,rq0_0060,0.6875,0.9375,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0123,java,easy,rq0_0020,rq0_0089,0.625,1.25,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0124,java,easy,rq0_0020,rq0_0109,0.1875,0.1875,True,False,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0125,java,easy,rq0_0020,rq0_0122,0.5625,0.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0126,java,easy,rq0_0020,rq0_0129,0.625,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0127,java,easy,rq0_0020,rq0_0144,0.875,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0128,java,easy,rq0_0020,rq0_0189,0.75,0.25,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0129,java,easy,rq0_0021,rq0_0041,0.5625,0.1875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0130,java,easy,rq0_0021,rq0_0064,0.75,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0131,java,easy,rq0_0021,rq0_0132,0.375,1.0,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0132,java,easy,rq0_0021,rq0_0167,0.625,0.75,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0133,java,easy,rq0_0021,rq0_0218,1.0625,0.6875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0134,java,easy,rq0_0021,rq0_0276,0.9375,0.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0135,java,easy,rq0_0021,rq0_0308,0.75,0.0,False,False,True,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0136,java,easy,rq0_0022,rq0_0048,0.5,0.375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0137,java,easy,rq0_0022,rq0_0149,0.3125,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0138,java,easy,rq0_0022,rq0_0180,1.0,0.375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0139,java,easy,rq0_0022,rq0_0208,1.0,0.0,False,False,True,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0140,java,easy,rq0_0022,rq0_0217,1.4375,0.8125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0141,java,easy,rq0_0022,rq0_0244,0.5625,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0142,java,easy,rq0_0022,rq0_0308,0.5,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0143,java,easy,rq0_0023,rq0_0100,1.0,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0144,java,easy,rq0_0023,rq0_0130,0.4375,1.5625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0145,java,easy,rq0_0023,rq0_0137,0.5625,0.9375,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0146,java,easy,rq0_0023,rq0_0160,0.4375,0.5625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0147,java,easy,rq0_0023,rq0_0203,0.4375,1.8125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0148,java,easy,rq0_0023,rq0_0214,1.25,0.5,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0149,java,easy,rq0_0023,rq0_0247,1.25,0.25,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0150,java,easy,rq0_0023,rq0_0260,1.0,0.625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0151,java,easy,rq0_0024,rq0_0058,0.5625,1.3125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0152,java,easy,rq0_0024,rq0_0069,0.3125,1.3125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0153,java,easy,rq0_0024,rq0_0083,0.1875,1.3125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0154,java,easy,rq0_0024,rq0_0192,0.5625,0.5625,True,True,False,True,False,False,True
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0155,java,easy,rq0_0024,rq0_0206,0.875,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0156,java,easy,rq0_0024,rq0_0212,1.0625,0.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0157,java,easy,rq0_0024,rq0_0246,0.8125,1.0625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0158,java,easy,rq0_0024,rq0_0250,1.125,0.75,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0159,java,easy,rq0_0024,rq0_0259,1.6875,0.0625,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0160,java,easy,rq0_0025,rq0_0181,0.125,0.875,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0161,java,easy,rq0_0025,rq0_0281,0.125,1.625,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0162,java,easy,rq0_0025,rq0_0295,0.25,0.875,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0163,java,easy,rq0_0026,rq0_0057,0.625,0.0,False,False,True,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0164,java,easy,rq0_0026,rq0_0087,0.375,1.0,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0165,java,easy,rq0_0026,rq0_0089,0.4375,1.3125,True,True,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0166,java,easy,rq0_0026,rq0_0115,0.625,1.0,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0167,java,easy,rq0_0027,rq0_0050,0.375,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0168,java,easy,rq0_0027,rq0_0067,0.5625,0.3125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0169,java,easy,rq0_0027,rq0_0130,0.4375,1.0625,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0170,java,easy,rq0_0027,rq0_0165,0.0625,0.6875,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0171,java,easy,rq0_0027,rq0_0167,0.1875,1.3125,True,False,False,False,True,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0172,java,easy,rq0_0027,rq0_0183,0.875,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0173,java,easy,rq0_0027,rq0_0233,1.0,0.875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0174,java,easy,rq0_0027,rq0_0251,1.0,0.125,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0175,java,easy,rq0_0027,rq0_0262,1.0625,0.1875,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0176,java,easy,rq0_0027,rq0_0308,0.6875,0.4375,False,False,False,False,False,False,False
qwen,Qwen/Qwen2.5-VL-7B-Instruct,rq1_0177,java,easy,rq0_0028,rq0_0178,0.6875,0.1875,False,False,False,False,False,False,False
