claim_id,task,scope,metric,value,ci_low,ci_high,p_value,source,description
CLM-085,Task 8,9 Baselines Python,expected_mean_acc,62.8400,,,,ml_predictions_9models_9000.csv,Mean accuracy across 9 baselines on Python
CLM-086,Task 8,9 Baselines Python,median_acc,62.8500,,,,ml_predictions_9models_9000.csv,Median accuracy across 9 baselines on Python
CLM-087,Task 8,9 Baselines 3-Lang Pooled,expected_mean_acc,64.6200,,,,ml_predictions_9models_9000.csv,Mean pooled accuracy across 9 baselines
CLM-088,Task 8,9 Baselines 3-Lang Pooled,median_acc,64.9200,,,,ml_predictions_9models_9000.csv,Median pooled accuracy across 9 baselines
CLM-091,Task 9,gpt-5.4 Text+Image vs Image,separate_delta_e,-1.0000,-14.6743,13.5377,,openai_vlm_pilot_20260708,ΔE separate Text+Image vs Image-Only (95% CI includes 0)
CLM-092,Task 9,gpt-5.4 Text+Image vs Image,separate_delta_s,9.6667,-3.5142,22.6709,,openai_vlm_pilot_20260708,ΔS separate Text+Image vs Image-Only (95% CI includes 0)
CLM-093,Task 9,gpt-5.4 Text+Image vs Image,combined_delta_e,-1.3333,-16.0764,14.3698,,openai_vlm_pilot_20260708,ΔE combined Text+Image vs Image-Only (95% CI includes 0)
CLM-094,Task 9,gpt-5.4 Text+Image vs Image,combined_delta_s,8.3333,-4.5461,21.1624,,openai_vlm_pilot_20260708,ΔS combined Text+Image vs Image-Only (95% CI includes 0)
CLM-095,Task 9,gpt-5.5 Text+Image vs Image,separate_delta_e,-5.6667,-21.2942,9.4652,,openai_vlm_pilot_20260708_gpt55_fixed,ΔE separate Text+Image vs Image-Only (95% CI includes 0)
CLM-096,Task 9,gpt-5.5 Text+Image vs Image,separate_delta_s,6.6667,-7.2802,21.5477,,openai_vlm_pilot_20260708_gpt55_fixed,ΔS separate Text+Image vs Image-Only (95% CI includes 0)
CLM-097,Task 9,gpt-5.5 Text+Image vs Image,combined_delta_e,-0.3333,-16.6245,14.8597,,openai_vlm_pilot_20260708_gpt55_fixed,ΔE combined Text+Image vs Image-Only (95% CI includes 0)
CLM-098,Task 9,gpt-5.5 Text+Image vs Image,combined_delta_s,-2.3333,-16.2903,12.7908,,openai_vlm_pilot_20260708_gpt55_fixed,ΔS combined Text+Image vs Image-Only (95% CI includes 0)
CLM-099,Task 9,gpt-5.4 Reasoning Budget,image_only_delta_e,4.3333,-1.7778,11.6885,,gpt54_reasoning_budget_pilot_90_20260709,ΔE High vs Low mot (image_only) (95% CI includes 0)
CLM-100,Task 9,gpt-5.4 Reasoning Budget,text_img_delta_e,1.0000,-6.0071,8.5821,,gpt54_reasoning_budget_pilot_90_20260709,ΔE High vs Low mot (text+img) (95% CI includes 0)
CLM-101,Task 2,InternVL3-8B (per-lang wrap/font),max_abs_delta_s,12.1000,,,,rq2_eval_reduced + rq1,Max |ΔS| for InternVL3-8B (wrap and font only)
CLM-102,Task 2,Qwen2.5-VL-7B (per-lang wrap/font),max_abs_delta_s,12.6000,,,,rq2_eval_reduced + rq1,Max |ΔS| for Qwen2.5-VL-7B (wrap and font only)
CLM-103,Task 2,InternVL3.5-8B (per-lang wrap/font),max_abs_delta_s,9.8000,,,,rq2_eval_reduced + rq1,Max |ΔS| for InternVL3.5-8B (wrap and font only)
CLM-104,Task 2,Gemma-3-12B (per-lang wrap/font),max_abs_delta_s,4.5000,,,,rq2_eval_reduced + rq1,Max |ΔS| for Gemma-3-12B (wrap and font only)
CLM-105,Task 2,Gemma4-12B (per-lang wrap/font),max_abs_delta_s,2.7000,,,,rq2_eval_reduced + rq1,Max |ΔS| for Gemma4-12B (wrap and font only)
CLM-106,Task 2,4 models (w/o InternVL3 per-lang wrap/font),spearman_rho,1.0000,1.0000,1.0000,0.0000e+00,rq2_eval_reduced + rq1,Spearman rho between RQ1 S and max |ΔS| (wrap and font only)
CLM-107,Task 2,4 models (w/o InternVL3 per-lang wrap/font),monte_carlo_null_p,0.1004,,,,rq2_eval_reduced + rq1,Monte Carlo null distribution p-value (wrap and font only)
